Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7081,64326,PICL03,WORKING,20001172866,2024-04-22,YES,US,YES,123
MB 7081,64410,PICL03,WORKING,20001172910,2024-04-24,YES,US,YES,120
MB 7081,64292,PICL03,WORKING,20001172867,2024-04-22,YES,US,YES,119
MB 7081,2088781,SPG240,WORKING,20001172812,2024-04-22,YES,US,YES,119.5151372380961
MB 7081,2080267,SPG240,WORKING,20001172811,2024-04-22,YES,US,YES,117.91206417050516
MB 7081,2099834,SPG240,WORKING,20001172817,2024-04-22,YES,US,YES,116.13671494609207
MB 7081,2047994,SPG240,WORKING,20001172816,2024-04-22,YES,US,YES,116.02349081687926
MB 7081,2117725,SPG240,WORKING,20001172836,2024-04-22,YES,US,YES,115.5864297682924
MB 7081,2106189,SPG240,WORKING,20001172819,2024-04-22,YES,US,YES,115.36233361637524
MB 7081,2093893,SPG240,WORKING,20001172821,2024-04-22,YES,US,YES,114.86813635553833
MB 7081,2106803,SPG240,WORKING,20001172941,2024-04-26,YES,US,YES,114.39105765984853
MB 7081,2117398,SPG240,WORKING,20001172825,2024-04-22,YES,US,YES,114.35840826868935
MB 7081,2117884,SPG240,WORKING,20001172942,2024-04-26,YES,US,YES,114.10602885142809
MB 7081,2117462,SPG240,WORKING,20001172839,2024-04-22,YES,TR,NO,114.0634427085584
MB 7081,2117491,SPG240,WORKING,20001172837,2024-04-22,YES,US,YES,113.98930726296874
MB 7081,2109908,SPG240,WORKING,20001172824,2024-04-22,YES,US,YES,113.91477394328595
MB 7081,2106178,SPG240,WORKING,20001172830,2024-04-22,YES,US,YES,113.85312469779771
MB 7081,2117687,SPG240,WORKING,20001172835,2024-04-22,YES,US,YES,113.22788603127623
MB 7081,2088841,SPG240,WORKING,20001172842,2024-04-22,YES,TR,NO,113.13827589256688
MB 7081,2099950,SPG240,WORKING,20001172823,2024-04-22,YES,US,YES,113.07497742808815
MB 7081,2117885,SPG240,WORKING,20001172845,2024-04-22,YES,US,YES,113.03926877455179
MB 7081,2106175,SPG240,WORKING,20001172826,2024-04-22,YES,US,YES,112.87015932041531
MB 7081,2093847,SPG240,WORKING,20001172828,2024-04-22,YES,US,YES,112.8407694888557
MB 7081,2106537,SPG240,WORKING,20001172831,2024-04-22,YES,US,YES,112.70639337582318
MB 7081,2117745,SPG240,WORKING,20001172840,2024-04-22,YES,US,YES,112.44090518902416
MB 7081,2109762,SPG240,WORKING,20001172838,2024-04-22,YES,TR,NO,111.99771190150949
MB 7081,2106035,SPG240,WORKING,20001172841,2024-04-22,YES,US,YES,111.7031700430955
MB 7081,2093708,SPG240,WORKING,20001172844,2024-04-22,YES,US,YES,111.10579240382468
MB 7081,2099318,SPG240,WORKING,20001172833,2024-04-22,YES,US,YES,110.63036766082878
MB 7081,2117565,SPG240,WORKING,20001172834,2024-04-22,YES,US,YES,110.43468938760877
MB 7081,2117465,SPG240,WORKING,20001172945,2024-04-26,YES,US,YES,110.39231378138089
MB 7081,2099996,SPG240,WORKING,20001172876,2024-04-24,YES,TR,NO,110.26354523551248
MB 7081,2117555,SPG240,WORKING,20001172847,2024-04-22,YES,US,YES,109.880606232918
MB 7081,2106179,SPG240,WORKING,20001172843,2024-04-22,YES,US,YES,109.74164990372402
MB 7081,2117617,SPG240,WORKING,20001172946,2024-04-26,YES,US,YES,109.40370717116399
MB 7081,2088794,SPG240,WORKING,20001172950,2024-04-26,YES,US,YES,109.38499975038377
MB 7081,2106666,SPG240,WORKING,20001172848,2024-04-22,YES,US,YES,108.96706898826581
MB 7081,2117703,SPG240,WORKING,20001172814,2024-04-22,YES,US,YES,108.91873578926833
MB 7081,2088403,SPG240,WORKING,20001172874,2024-04-24,YES,US,YES,108.66693157756472
MB 7081,2117658,SPG240,WORKING,20001172815,2024-04-22,YES,US,YES,108.2592992884626
MB 7081,2109783,SPG240,WORKING,20001172951,2024-04-26,YES,US,YES,108.22835184083567
MB 7081,2056982,SPG240,WORKING,20001172846,2024-04-22,YES,US,YES,108.01689922706495
MB 7081,2106230,SPG240,WORKING,20001172875,2024-04-24,YES,US,YES,107.9729609775752
MB 7081,2106228,SPG240,WORKING,20001172877,2024-04-24,YES,US,YES,107.96954431592353
MB 7081,2088795,SPG240,WORKING,20001172870,2024-04-24,YES,US,YES,107.77693425875792
MB 7081,2117764,SPG240,WORKING,20001172810,2024-04-22,YES,US,YES,107.5966062956049
MB 7081,2106152,SPG240,WORKING,20001172871,2024-04-24,YES,US,YES,107.49188631876265
MB 7081,2106004,SPG240,WORKING,20001172872,2024-04-24,YES,US,YES,107.4878352369241
MB 7081,2106749,SPG240,WORKING,20001172873,2024-04-24,YES,US,YES,107.46914856659261
MB 7081,2093792,SPG240,WORKING,20001172881,2024-04-24,YES,US,YES,107.08649575266583
