Boar Stud.x,Cull Errors,week
High Desert,1,2020-05-04
MB 7082,2
SPGVA,3
High Desert,1
MB 7082,1
MBW Cimarron,2
MB 7082,1
MBW Cimarron,2
MB 7092,1
SPGVA,2
Skyline Boar Stud,10
MB 7082,1
MB 7082,1
MB 7082,1
MB 7082,1
MB 7081,4
MB 7081,4
SPGVA,1
MB 7082,1
