Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
SPGNC,179,220,81.36363636363636,170.84615384615384,17,39.80189104007204,1,54,3,3,0,0,0,0,0,3,179,2.4615384615384617,1.3751611516974647,114.07289803046272,114.37439162540332,0.30149359494059524,19730,202402,113,5,4.424778761061947,324,0.9259259259259258,0.5586592178770949,3,3,2,2,2,2,10
SPGVA,251,292,85.95890410958904,258.7692307692308,10,15.457788347205707,3,68,0,0,0,0,0,0,0,0,251,2.5384615384615383,1.0113392583512106,112.01577938042671,112.56634194361855,0.3977681370047351,19730,202402,149,0,0,408,0,1.1952191235059761,3,3,2,2,0,2,10
MB 7081,225,200,112.5,220.92307692307693,9,16.29526462395543,1,33,1,1,0,0,0,0,0,1,225,1.4615384615384615,0.6495726495726496,109.0844991998234,109.36013123153548,0.1837546878080521,19737,202403,79,3,3.797468354,198,0.5050505050505051,0.4444444444444444,3,3,2,2,2,2,10
MB 7082,186,200,93,187.53846153846155,0,0,0,27,0,0,0,0,0,0,0,0,186,1.0769230769230769,0.5789909015715468,106.90121833039156,106.90121833039156,0.032608696,19737,202403,84,3,3.571428571428571,162,0,0,3,3,2,2,2,2,10
MB 7092,440,250,176,487.15384615384613,28,22.99068372,0,47,0,0,0,0,0,0,0,0,440,9,2.0454545454545454,104.81103861122303,104.83650613499134,0.025467523768313072,19737,202403,434,20,4.6082949308755765,282,0,0,3,3,2,2,2,2,10
MB 7093,459,450,102,453,33,29.13907284768212,0,47,1,2,0,0,0,0,1,1,459,0.6153846153846154,0.13407072230601644,104.13158353367957,104.13158353367957,0,19737,202403,383,5,1.3054830287206265,282,0.7092198581560284,0,3,3,2,2,2,2,10
MB 7094,461,450,102.44444444444444,473.7692307692308,34,28.705958759538884,12,40,0,0,0,0,0,0,0,0,461,3.1538461538461537,0.6841314867345236,105.86835784575872,106.05827248819725,0.18991464243852363,19737,202403,261,6,2.2988505747126435,240,0,2.6030368763557483,3,2,2,2,2,2,9
MBW Cimarron,308,399,77.19298245614034,319.61538461538464,3,3.7545126353790614,15,31,0,0,0,0,0,0,0,0,308,2.8461538461538463,0.9240759240759242,105.9221588531717,105.92395633020405,0.001723201,19737,202403,195,0,0,186,0,4.870129870129871,3,1,2,2,0,0,6
MBW Cyclone,348,403,86.35235732009926,354.53846153846155,12,13.538728574528097,0,34,0,0,0,0,0,0,0,0,348,3.8461538461538463,1.1052166224580018,107.30852428289077,107.40895862742542,0.082216022,19737,202403,270,9,3.3333333333333335,204,0,0,3,3,2,2,2,2,10
MBW Yuma,145,203,71.42857142857143,161.92307692307693,6,14.821852731591449,0,24,0,0,0,0,0,0,0,0,146,2.4615384615384617,1.6859852476290835,104.95658376941243,104.95658376941243,0,19737,202403,88,3,3.4090909090909087,144,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,236,200,118,238.30769230769232,6,10.071013557133634,0,11,0,0,0,0,0,0,0,0,236,0.38461538461538464,0.16297262059973924,108.31464911013977,108.52506189607544,0.2104127859356737,19737,202403,103,0,0,66,0,0,3,3,2,2,0,2,10
SPGNC,178,220,80.90909091,182.23076923076923,16,35.120303925707056,0,56,14,14,0,0,0,0,0,14,180,3.1538461538461537,1.7521367521367521,113.81237496984315,113.93698468285707,0.12460971301392476,19737,202403,134,2,1.4925373134328357,336,4.166666666666666,0,3,3,0,2,2,2,8
SPGVA,249,292,85.27397260273972,258.0769230769231,12,18.599105812220564,12,83,0,0,0,0,0,0,0,0,249,2.6923076923076925,1.0812480691998765,111.78319168502358,111.81317280333707,0.1140605538540961,19737,202403,167,0,0,498,0,4.819277108433735,3,1,2,2,0,2,8
MB 7081,224,200,112.00000000000001,222.30769230769232,9,16.193771626297575,1,31,0,0,0,0,0,0,0,0,224,1.6153846153846154,0.7211538461538461,108.01205196705136,108.18794840732394,0.1731503919270168,19744,202404,76,3,3.9473684210526314,186,0,0.4464285714285714,3,3,2,2,2,2,10
MB 7082,186,200,93,187,0,0,0,29,0,0,0,0,0,0,0,0,186,1.0769230769230769,0.5789909015715468,106.47218343894207,106.47218343894207,0.00877193,19744,202404,83,3,3.614457831325301,174,0,0,3,3,2,2,2,2,10
MB 7092,438,250,175.2,478.53846153846155,26,21.73284037936023,0,48,0,0,0,0,0,0,0,0,438,8.692307692307692,1.9845451352300665,104.54825014990332,104.57657488662889,0.028324736725565458,19744,202404,412,14,3.3980582524271843,288,0,0,3,3,2,2,2,2,10
MB 7093,440,450,97.77777777777777,456.7692307692308,50,43.78578646008757,0,49,0,0,0,0,0,0,0,0,440,0.7692307692307693,0.17482517482517482,103.95885564809845,104.01969211266388,0.060836465,19744,202404,402,10,2.4875621890547266,294,0,0,3,3,2,2,2,2,10
MB 7094,461,450,102.44444444444444,473.9230769230769,31,26.164583671481907,116,40,0,0,0,0,0,0,0,0,461,3.3076923076923075,0.717503754,104.77661121275133,104.86742908116703,0.090817868,19744,202404,320,12,3.75,240,0,25.16268980477224,3,0,2,2,2,2,7
MBW Cimarron,359,399,89.97493734335839,326.3076923076923,4,4.903347477604903,0,31,0,0,0,0,0,0,0,0,359,3.3846153846153846,0.9427898007285194,105.11496822680569,105.11723090764744,0.002175655,19744,202404,198,11,5.555555555555555,186,0,0,3,3,2,1,1,1,9
MBW Cyclone,342,403,84.86352357,358.6923076923077,15,16.727428693973838,3,27,0,0,0,0,0,0,0,0,342,3.923076923076923,1.147098515519568,106.15408323894013,106.26039211254228,0.12540075940834466,19744,202404,217,12,5.529953917050691,162,0,0.8771929824561403,3,3,2,1,1,1,9
MBW Yuma,171,203,84.23645320197043,162.15384615384616,9,22.20113852,0,21,0,0,0,0,0,0,0,0,171,2.3846153846153846,1.3945119208277104,103.58050571944766,103.58050571944766,0,19744,202404,88,3,3.4090909090909087,126,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,232,200,115.99999999999999,244.3846153846154,8,13.094113943972301,0,15,1,6,1,1,1,1,1,1,232,0.38461538461538464,0.16578249336870027,105.27682170532938,105.27682170532938,0,19744,202404,192,0,0,90,6.666666666666667,0,3,3,0,2,0,2,8
SPGNC,176,220,80,181.6153846153846,12,26.429479034307494,0,57,0,0,0,0,0,0,0,0,176,2.8461538461538463,1.617132867132867,114.34057480418696,114.56109963519336,0.22052483100640075,19744,202404,117,3,2.564102564102564,342,0,0,3,3,2,2,2,2,10
SPGVA,249,292,85.27397260273972,259.38461538461536,0,0,0,85,1,1,0,0,0,0,0,1,249,2.6923076923076925,1.0812480691998765,110.03531039464673,110.03531039464673,0.052631579,19744,202404,158,1,0.6329113924050633,510,0.19607843137254902,0,3,3,2,2,2,2,10
MB 7081,224,200,112.00000000000001,222.46153846153845,8,14.384508990318121,1,31,1,1,0,0,0,0,0,1,224,1.7692307692307692,0.7898351648351648,108.8660228,108.99880899828318,0.1787878565329804,19751,202405,91,0,0,186,0.5376344086021506,0.4464285714285714,3,3,2,2,0,0,8
MB 7082,186,200,93,186.76923076923077,0,0,6,28,0,0,0,0,0,0,0,0,186,1,0.5376344086021506,105.54057271077278,105.54057271077278,0.025210084,19751,202405,87,0,0,168,0,3.225806451612903,3,2,2,2,0,0,7
MB 7092,435,250,174,472,26,22.033898305084744,0,49,0,0,0,0,0,0,0,0,435,9.076923076923077,2.0866489832007074,104.67528203770821,104.70248057493498,0.027198537,19751,202405,395,13,3.2911392405063293,294,0,0,3,3,2,2,2,2,10
MB 7093,421,450,93.55555555555556,453.38461538461536,68,59.99321343739397,10,44,0,0,0,0,0,0,0,0,421,0.7692307692307693,0.18271514708569342,103.86191380858176,104.16979491927135,0.3078811106895927,19751,202405,402,3,0.7462686567164178,264,0,2.375296912114014,3,2,2,2,2,2,9
MB 7094,459,450,102,474.3076923076923,29,24.456698021407718,25,38,0,0,0,0,0,0,0,0,459,3.1538461538461537,0.6871124518183341,102.84542775330047,103.30297006724166,0.4575423139411896,19751,202405,382,6,1.5706806282722512,228,0,5.446623093681917,3,1,2,2,2,2,8
MBW Cimarron,353,399,88.47117794486216,329.3076923076923,7,8.502686288250407,0,32,0,0,0,0,0,0,0,0,353,3.4615384615384617,0.9806057964698192,104.97113787135243,108.70193515361467,3.6040056705824273,19751,202405,194,7,3.608247422680412,192,0,0,3,3,2,2,2,2,10
MBW Cyclone,310,403,76.92307692307693,362.53846153846155,16,17.653299384680672,4,29,0,0,0,0,0,0,0,0,310,3.8461538461538463,1.240694789081886,105.47138850244846,105.49050449563539,0.015871536,19751,202405,241,7,2.904564315352697,174,0,1.2903225806451613,3,3,2,2,2,2,10
MBW Yuma,163,203,80.29556650246306,161.46153846153845,10,24.773701762744167,0,25,0,0,0,0,0,0,0,0,163,2.3076923076923075,1.4157621519584709,103.6067145690027,103.6067145690027,0.011764705882352271,19751,202405,82,3,3.6585365853658534,150,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,230,200,114.99999999999999,247.23076923076923,7,11.325451151213443,0,15,1,6,1,1,1,1,1,1,230,0.38461538461538464,0.16722408026755856,105.33712667083302,105.33712667083302,0,19751,202405,189,0,0,90,6.666666666666667,0,3,3,0,2,0,2,8
SPGNC,174,220,79.09090909,180.84615384615384,11,24.330072309655467,0,57,0,0,0,0,0,0,0,0,174,2.6153846153846154,1.5030946065428823,114.39642577148476,114.65528207389426,0.2588563024094981,19751,202405,129,4,3.100775194,342,0,0,3,3,2,2,2,2,10
SPGVA,249,292,85.27397260273972,258.61538461538464,0,0,1,91,0,0,0,0,0,0,0,0,249,3.3076923076923075,1.328390485016991,110.54753880271292,112.94766557081894,1.9196479716547836,19751,202405,178,0,0,546,0,0.4016064257028112,3,3,2,2,0,2,10
MB 7081,226,200,112.99999999999999,224.84615384615384,12,21.347930208689704,1,33,0,0,0,0,0,0,0,0,226,1.8461538461538463,0.8168822328114365,108.81399688834428,108.9480470456021,0.097384826,19758,202406,87,4,4.597701149425287,198,0,0.4424778761061947,3,3,2,2,2,2,10
MB 7082,186,200,93,186.69230769230768,0,0,7,28,0,0,0,0,0,0,0,0,186,1.0769230769230769,0.5789909015715468,105.71732827547837,105.71732827547837,0,19758,202406,83,3,3.614457831325301,168,0,3.763440860215054,3,2,2,2,2,2,9
MB 7092,430,250,172,464.61538461538464,24,20.662251655629138,0,48,0,0,0,0,0,0,0,0,430,9.769230769,2.2719141323792487,104.27691085578648,104.28301536926487,0.006104513,19758,202406,434,24,5.529953917050691,288,0,0,3,3,2,1,1,1,9
MB 7093,419,450,93.11111111111111,448.7692307692308,66,58.82756256427837,0,53,5,5,0,0,0,0,0,5,419,0.7692307692307693,0.18358729575913346,104.41965462816047,104.72764099741872,0.30798636925824496,19758,202406,332,2,0.6024096385542169,318,1.5723270440251573,0,3,3,0,2,2,2,8
MB 7094,525,450,116.66666666666667,474.84615384615387,32,26.956099141422325,26,45,0,0,0,0,0,0,0,0,525,3.3076923076923075,0.63003663,102.79622567220464,103.23402823544022,0.43780256323557865,19758,202406,360,6,1.6666666666666667,270,0,4.9523809523809526,3,1,2,2,2,2,8
MBW Cimarron,349,399,87.46867168,331.9230769230769,8,9.640787949015065,2,29,0,0,0,0,0,0,0,0,349,3.4615384615384617,0.9918448313863787,104.21777013311915,107.07814966779382,2.7822270883720908,19758,202406,153,3,1.9607843137254901,174,0,0.5730659025787965,3,3,2,2,2,2,10
MBW Cyclone,280,403,69.47890819,357.38461538461536,15,16.788635385277658,0,22,0,0,0,0,0,0,0,0,280,3.6153846153846154,1.2912087912087913,105.81898869039132,106.94622944075523,1.0831546378093229,19758,202406,156,6,3.8461538461538463,132,0,0,3,3,2,2,2,2,10
MBW Yuma,152,203,74.87684729,160.3846153846154,10,24.940047961630697,0,24,0,0,0,0,0,0,0,0,152,2.4615384615384617,1.6194331983805668,102.02253079644936,102.02253079644936,0,19758,202406,80,3,3.75,144,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,226,200,112.99999999999999,249.46153846153845,7,11.22417514646932,0,12,0,0,0,0,0,0,0,0,226,0.38461538461538464,0.17018379850238258,105.60464282604258,105.60464282604258,0,19758,202406,189,0,0,72,0,0,3,3,2,2,0,2,10
SPGNC,182,220,82.72727272727273,180.07692307692307,17,37.76164032464759,0,58,0,0,0,0,0,0,0,0,182,2.5384615384615383,1.3947590870667792,113.94557748769046,114.16291802379746,0.21734053610700244,19758,202406,126,2,1.5873015873015872,348,0,0,3,3,2,2,2,2,10
SPGVA,248,292,84.93150684931507,257.9230769230769,0,0,6,81,0,0,0,0,0,0,0,0,248,3.230769230769231,1.3027295285359801,110.7568638852867,113.01875413248355,1.784162484604622,19758,202406,165,3,1.8181818181818181,486,0,2.4193548387096775,3,2,2,2,2,2,9
MB 7081,226,200,112.99999999999999,225.23076923076923,12,21.311475409836067,1,32,0,0,0,0,0,0,0,0,226,1.8461538461538463,0.8168822328114365,109.30356755576175,109.86299157992205,0.36030699861172344,19765,202407,84,0,0,192,0,0.4424778761061947,3,3,2,2,0,0,8
MB 7082,186,200,93,186.69230769230768,0,0,9,28,0,0,0,0,0,0,0,0,186,1.0769230769230769,0.5789909015715468,105.44666001003561,105.44666001003561,0.016949152542370474,19765,202407,99,3,3.0303030303030303,168,0,4.838709677419355,3,1,2,2,2,2,8
MB 7092,427,250,170.79999999999998,461.9230769230769,24,20.782681099084098,0,48,0,0,0,0,0,0,0,0,429,9.461538461538462,2.205486820871436,104.12824843260762,104.14119348102707,0.012945048419453542,19765,202407,422,10,2.3696682464454977,288,0,0,3,3,2,2,2,2,10
MB 7093,415,450,92.22222222222223,444.38461538461536,69,62.10836074086896,0,47,1,1,0,0,0,0,0,1,415,0.7692307692307693,0.18535681186283595,102.31940191768524,102.39849672048837,0.079094803,19765,202407,408,1,0.24509803921568626,282,0.3546099290780142,0,3,3,2,2,2,2,10
MB 7094,493,450,109.55555555555556,480.53846153846155,50,41.619977589242836,1,41,0,0,0,0,0,0,0,0,493,3.8461538461538463,0.7801529099703542,104.79395006939504,104.93728886105977,0.14333879166473196,19765,202407,351,4,1.1396011396011396,246,0,0.2028397565922921,3,3,2,2,2,2,10
MBW Cimarron,345,399,86.46616541353383,334.38461538461536,8,9.569818265,2,31,0,0,0,0,0,0,0,0,345,3.769230769230769,1.092530657748049,105.64675242621522,107.70512436296865,2.0069126383345957,19765,202407,183,7,3.825136612021858,186,0,0.5797101449275363,3,3,2,2,2,2,10
MBW Cyclone,250,403,62.03473945409429,350.0769230769231,15,17.139090309822016,0,30,0,0,0,0,0,0,0,0,250,3.769230769230769,1.5076923076923077,104.60122240513812,104.60290613210934,0.001432787,19765,202407,200,12,6,180,0,0,3,3,2,1,1,1,9
MBW Yuma,151,203,74.38423645320196,158.84615384615384,11,27.699757869249396,0,26,0,0,0,0,0,0,0,0,151,2.3076923076923075,1.5282730514518592,102.06718449490775,102.06718449490775,0,19765,202407,79,3,3.797468354,156,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,226,200,112.99999999999999,246.3846153846154,5,8.117389946924758,0,14,0,0,0,0,0,0,0,0,226,0.38461538461538464,0.17018379850238258,105.28739366202167,105.28741561363248,0.8800204881700846,19765,202407,170,0,0,84,0,0,3,3,2,2,0,2,10
SPGNC,182,220,82.72727272727273,180,16,35.55555555555556,0,57,0,0,0,0,0,0,0,0,182,2.5384615384615383,1.3947590870667792,113.84175073495054,113.97702381084953,0.1352730758989935,19765,202407,124,3,2.4193548387096775,342,0,0,3,3,2,2,2,2,10
SPGVA,248,292,84.93150684931507,257.3076923076923,0,0,10,79,1,1,0,0,0,0,0,1,248,3.3076923076923075,1.3337468982630272,111.74307773965019,112.36088634233705,0.48567612696770823,19765,202407,148,4,2.7027027027027026,474,0.21097046413502107,4.032258064516129,3,1,2,2,2,2,8
MB 7081,224,200,112.00000000000001,225.6153846153846,14,24.821002386634845,0,31,0,0,0,0,0,0,0,0,224,1.9230769230769231,0.8585164835164836,109.40379646830807,109.52608703979372,0.1659519145674787,19772,202408,85,3,3.5294117647058822,186,0,0,3,3,2,2,2,2,10
MB 7082,183,200,91.5,187.23076923076923,0,0,12,27,0,0,0,0,0,0,0,0,183,1.0769230769230769,0.5884825556956704,105.30159744284826,105.30159744284826,0.008849558,19772,202408,99,3,3.0303030303030303,162,0,6.557377049180328,3,0,2,2,2,2,7
MB 7092,424,250,169.6,459.38461538461536,26,22.638981915606163,0,44,1,1,0,0,0,0,0,1,424,9.384615384615385,2.2133526850507983,102.77537812830799,102.84515158001697,0.069773452,19772,202408,407,13,3.194103194103194,264,0.3787878787878788,0,3,3,2,2,2,2,10
MB 7093,412,450,91.55555555555556,439.84615384615387,71,64.56803078,0,49,0,0,0,0,0,0,0,0,412,0.7692307692307693,0.18670649738610903,102.43490791108657,102.72365249361947,0.2887445825328996,19772,202408,382,13,3.4031413612565444,294,0,0,3,3,2,2,2,2,10
MB 7094,490,450,108.88888888888889,479.15384615384613,50,41.74024723069514,2,40,0,0,0,0,0,0,0,0,490,3.4615384615384617,0.7064364207221351,104.96358655343265,105.10811030656626,0.14452375313361188,19772,202408,331,9,2.719033232628399,240,0,0.40816326530612246,3,3,2,2,2,2,10
MBW Cimarron,345,399,86.46616541353383,336.61538461538464,8,9.506398537477146,0,31,1,1,0,0,0,0,0,1,345,3.8461538461538463,1.1148272017837235,106.51894229953814,106.66074274808176,0.13786154719518606,19772,202408,190,4,2.1052631578947367,186,0.5376344086021506,0,3,3,2,2,2,2,10
MBW Cyclone,248,403,61.53846153846154,340.53846153846155,17,19.968375875310592,0,28,0,0,0,0,0,0,0,0,248,4.076923076923077,1.6439205955334986,104.95372729289353,104.97921830486985,0.094385235,19772,202408,192,5,2.604166666666667,168,0,0,3,3,2,2,2,2,10
MBW Yuma,151,203,74.38423645320196,157.84615384615384,11,27.87524366471735,0,26,0,0,0,0,0,0,0,0,151,2.3846153846153846,1.5792154865002548,101.88032734799093,101.88032734799093,0.011235955056179137,19772,202408,79,3,3.797468354,156,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,249,200,124.50000000000001,245.23076923076923,5,8.155583437892096,0,13,2,2,0,0,0,0,0,2,249,0.3076923076923077,0.1235712079085573,105.07463069296523,105.07463069296523,0,19772,202408,189,0,0,78,2.564102564102564,0,3,3,0,2,0,2,8
SPGNC,181,220,82.27272727272728,180,16,35.55555555555556,0,65,2,10,0,2,2,2,2,2,181,2.5384615384615383,1.4024649383765404,114.4102673,114.57721252491507,0.16694520536407254,19772,202408,113,3,2.6548672566371683,390,2.564102564102564,0,3,3,0,2,2,2,8
SPGVA,248,292,84.93150684931507,256.3076923076923,0,0,10,63,0,0,0,0,0,0,0,0,248,3.1538461538461537,1.271712158808933,111.21175697586791,112.22711235113971,0.7401084361920918,19772,202408,144,10,6.944444444444445,378,0,4.032258064516129,3,1,2,1,1,2,8
MB 7081,224,200,112.00000000000001,224.69230769230768,12,21.362547072920236,0,31,1,1,0,0,0,0,0,1,224,1.9230769230769231,0.8585164835164836,108.8179003913946,108.93303923714633,0.094725608,19779,202409,98,1,1.0204081632653061,186,0.5376344086021506,0,3,3,2,2,2,2,10
MB 7082,187,200,93.5,189.30769230769232,0,0,2,29,0,0,0,0,0,0,0,0,187,1.0769230769230769,0.5758946935417523,105.23316032854896,105.23316032854896,0,19779,202409,90,3,3.3333333333333335,174,0,1.069518717,3,3,2,2,2,2,10
MB 7092,510,250,204,463.38461538461536,25,21.58034528552457,1,49,0,0,0,0,0,0,0,0,510,9.846153846153847,1.9306184012066365,104.07844847227543,104.23553064242495,0.15708217014952197,19779,202409,357,15,4.201680672268908,294,0,0.19607843137254902,3,3,2,2,2,2,10
MB 7093,409,450,90.88888888888889,435.3076923076923,72,66.16009895741297,0,45,1,1,0,0,0,0,0,1,409,0.7692307692307693,0.1880759826970096,101.73120272833482,101.80484546853548,0.07364274,19779,202409,381,14,3.674540682414698,270,0.3703703703703704,0,3,3,2,2,2,2,10
MB 7094,486,450,108,477.6923076923077,54,45.21739130434783,1,38,0,0,0,0,0,0,0,0,486,3.8461538461538463,0.7913896802785693,104.7720974497875,104.81618211862198,0.044084669,19779,202409,360,4,1.1111111111111112,228,0,0.205761317,3,3,2,2,2,2,10
MBW Cimarron,345,399,86.46616541353383,338.84615384615387,7,8.263337116912599,0,35,1,1,0,0,0,0,0,1,345,3.230769230769231,0.9364548494983279,106.41814674292635,106.57073637009641,0.148279186,19779,202409,224,5,2.232142857142857,210,0.4761904761904762,0,3,3,2,2,2,2,10
MBW Cyclone,248,403,61.53846153846154,330.9230769230769,14,16.92236169223617,0,32,1,1,0,0,0,1,0,0,248,4.230769230769231,1.705955334987593,104.45942216247872,105.74487535798583,1.6725057416424027,19779,202409,141,4,2.8368794326241136,192,0.5208333333333333,0,3,3,2,2,2,2,10
MBW Yuma,148,203,72.90640394,157,11,28.02547770700637,0,26,0,0,0,0,0,0,0,0,148,2.4615384615384617,1.6632016632016633,101.7943918486331,101.7943918486331,0,19779,202409,81,3,3.7037037037037033,156,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,246,200,123,244,5,8.196721311,0,14,0,0,0,0,0,0,0,0,246,0.3076923076923077,0.12507817385866166,105.68232684530344,105.68398947789507,0.001662633,19779,202409,186,0,0,84,0,0,3,3,2,2,0,2,10
SPGNC,180,220,81.81818181818183,179.84615384615384,14,31.137724550898206,0,64,1,1,0,0,0,0,0,1,180,2.4615384615384617,1.3675213675213675,113.4034239244186,113.8119860699071,0.4085621454885029,19779,202409,124,1,0.8064516129032258,384,0.26041666666666663,0,3,3,2,2,2,2,10
SPGVA,256,292,87.67123287671232,255.53846153846155,0,0,1,65,0,0,0,0,0,0,0,0,256,3.076923076923077,1.201923076923077,112.9073687435798,113.48953453518077,0.4116344118740882,19779,202409,135,4,2.9629629629629632,390,0,0.390625,3,3,2,2,2,2,10
MB 7081,222,200,111.00000000000001,225.07692307692307,14,24.88038277511962,0,31,1,1,0,0,0,0,0,1,222,1.8461538461538463,0.8316008316008316,108.15450162173954,108.27831957506825,0.21080442472124472,19786,202410,96,2,2.083333333333333,186,0.5376344086021506,0,3,3,2,2,2,2,10
MB 7082,187,200,93.5,190,0,0,0,28,0,0,0,0,0,0,0,0,187,1.0769230769230769,0.5758946935417523,105.68820715055695,105.68820715055695,0,19786,202410,90,3,3.3333333333333335,168,0,0,3,3,2,2,2,2,10
MB 7092,501,250,200.4,462.7692307692308,25,21.60904255319149,0,46,2,4,0,0,0,0,2,2,501,9.846153846153847,1.9653001688929832,104.90286096924852,104.96509882647095,0.062237857222427806,19786,202410,375,14,3.733333333333334,276,1.4492753623188406,0,3,3,0,2,2,2,8
MB 7093,409,450,90.88888888888889,430.9230769230769,57,52.90967511602999,0,45,5,5,0,0,0,0,0,5,409,0.7692307692307693,0.1880759826970096,102.40543218381282,102.48022641780894,0.074794234,19786,202410,371,6,1.6172506738544474,270,1.8518518518518516,0,3,3,0,2,2,2,8
MB 7094,483,450,107.33333333333333,475.9230769230769,46,38.66171003717472,2,43,1,1,0,0,0,0,0,1,483,4.153846153846154,0.8600095556617295,104.37808519561939,104.55964528255998,0.18156008694059267,19786,202410,336,0,0,258,0.3875968992248062,0.4140786749482402,3,3,2,2,0,0,8
MBW Cimarron,343,399,85.96491228070175,341.46153846153845,8,9.371480063,0,34,0,0,0,0,0,0,0,0,343,3.4615384615384617,1.009194886745907,106.31959131958374,106.56287097993211,0.24780914993368514,19786,202410,243,8,3.292181069958848,204,0,0,3,3,2,2,2,2,10
MBW Cyclone,247,403,61.29032258064516,321.61538461538464,15,18.655823965558476,25,27,0,0,0,0,0,0,0,0,247,4.3076923076923075,1.7440049828713795,105.16539455793045,105.17639216184556,0.009110441,19786,202410,175,6,3.428571428571429,162,0,10.121457489878543,3,0,2,2,2,2,7
MBW Yuma,176,203,86.69950738916256,157.53846153846155,11,27.9296875,0,27,1,1,0,0,0,0,1,0,176,2.4615384615384617,1.3986013986013985,104.91863104316282,105.9394608727169,0.9236079410251149,19786,202410,76,3,3.9473684210526314,162,0.6172839506172839,0,3,3,2,2,2,2,10
Skyline Boar Stud,246,200,123,242.92307692307693,5,8.233058898036731,0,11,0,0,0,0,0,0,0,0,246,0.3076923076923077,0.12507817385866166,105.13271712531885,105.13271712531885,0.2463768115942029,19786,202410,166,0,0,66,0,0,3,3,2,2,0,2,10
SPGNC,180,220,81.81818181818183,179.69230769230768,14,31.164383561643838,0,71,0,0,0,0,0,0,0,0,180,2.4615384615384617,1.3675213675213675,112.83795125537621,112.95859049814985,0.12063924277363469,19786,202410,140,3,2.142857142857143,426,0,0,3,3,2,2,2,2,10
SPGVA,256,292,87.67123287671232,255.53846153846155,0,0,2,63,0,0,0,0,0,0,0,0,256,3.4615384615384617,1.3521634615384617,113.31240829791564,113.88559040225309,0.40843515219255283,19786,202410,139,6,4.316546762589928,378,0,0.78125,3,3,2,2,2,2,10
MB 7081,221,200,110.5,225.30769230769232,17,30.180949129395696,0,30,1,1,0,0,0,0,0,1,221,2,0.90497737599999994,107.92376663735041,108.09021440711211,0.10421077758993584,19793,202411,96,0,0,180,0.5555555555555556,0,3,3,2,2,0,0,8
MB 7082,187,200,93.5,188,0,0,2,29,0,0,0,0,0,0,0,0,187,1.0769230769230769,0.5758946935417523,105.08546623405644,105.08546623405644,0,19793,202411,89,3,3.3707865168539324,174,0,1.069518717,3,3,2,2,2,2,10
MB 7092,454,250,181.6,461.7692307692308,28,24.254539396968184,0,52,0,0,0,0,0,0,0,0,454,10.76923076923077,2.372077261945104,105.2425776530104,105.24913603748432,0.006558384,19793,202411,339,10,2.949852507374631,312,0,0,3,3,2,2,2,2,10
MB 7093,407,450,90.44444444444444,430.53846153846155,58,53.88601036,7,45,0,0,0,0,0,0,0,0,407,0.38461538461538464,0.094500095,101.87125030216471,101.93533623344933,0.064085931,19793,202411,375,4,1.0666666666666667,270,0,1.71990172,3,3,2,2,2,2,10
MB 7094,480,450,106.66666666666667,476.61538461538464,48,40.284054228534536,4,41,1,1,0,0,0,0,0,1,480,4.230769230769231,0.8814102564102564,104.34506151093865,104.4702584490401,0.12519693810145327,19793,202411,405,11,2.7160493827160495,246,0.40650406504065045,0.8333333333333334,3,3,2,2,2,2,10
MBW Cimarron,340,399,85.21303258145363,341.6923076923077,9,10.535794687077892,29,35,0,0,0,0,0,0,0,0,340,3.4615384615384617,1.0180995475113122,106.10325913058828,107.07476092690978,0.94576664939906685,19793,202411,172,7,4.069767441860465,210,0,8.529411764705882,3,0,2,2,2,2,7
MBW Cyclone,244,403,60.545905707196034,312.3076923076923,14,17.93103448275862,21,27,0,0,0,0,0,0,0,0,244,3.923076923076923,1.6078184110970994,104.9242081188515,104.9909489386486,0.055683169,19793,202411,175,4,2.2857142857142856,162,0,8.606557377,3,0,2,2,2,2,7
MBW Yuma,155,203,76.35467980295566,158.3846153846154,14,35.35696940262263,0,26,0,0,0,0,0,0,0,0,155,2.5384615384615383,1.6377171215880892,105.93099740960352,105.93099740960352,0,19793,202411,67,3,4.477611940298507,156,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,245,200,122.50000000000001,242.30769230769232,5,8.253968253968253,0,14,0,0,0,0,0,0,0,0,245,0.3076923076923077,0.12558869701726844,105.17165329358743,105.23809753834546,0.17725145485646887,19793,202411,185,0,0,84,0,0,3,3,2,2,0,2,10
