Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
SPGNC,182,220,82.72727272727273,184.69230769230768,20,43.31528529779259,0,52,0,0,0,0,0,0,0,0,182,4,2.197802197802198,114.4053321300904,114.62416793251901,0.21883580242861456,19695,202349,128,2,1.5625,312,0,0,3,3,2,2,2,2,10
SPGVA,255,292,87.32876712328768,260.2307692307692,8,12.296778007685488,4,65,0,0,0,0,0,0,0,0,255,1.0769230769230769,0.42232277526395173,112.73546264723832,113.4722354881946,0.7774958363963458,19695,202349,130,0,0,390,0,1.5686274509803921,3,3,2,2,0,2,10
MB 7081,219,200,109.5,217,5,9.216589861751153,4,30,0,0,0,0,0,0,0,0,219,1.6153846153846154,0.7376185458377239,107.65228352336948,108.18961462011295,0.3486935840569339,19702,202350,89,0,0,180,0,1.826484018,3,3,2,2,0,0,8
MB 7082,181,200,90.5,191.69230769230768,0,0,1,27,0,0,0,0,0,0,0,0,181,1.3846153846153846,0.764980875,103.1696674781851,103.1696674781851,0,19702,202350,75,0,0,162,0,0.5524861878453038,3,3,2,2,0,0,8
MB 7092,467,250,186.8,509.61538461538464,29,22.762264150943395,0,48,0,0,0,0,0,0,0,0,467,8.461538461538462,1.8118926041838248,105.53712810198738,105.58400997016565,0.046881868,19702,202350,407,16,3.9312039312039313,288,0,0,3,3,2,2,2,2,10
MB 7093,413,450,91.77777777777779,459,39,33.98692810457516,6,43,0,0,0,0,0,0,0,0,413,0.8461538461538461,0.20487986589681506,105.78494129207684,105.80232162450712,0.017380332430278145,19702,202350,350,3,0.8571428571428572,258,0,1.4527845036319613,3,3,2,2,2,2,10
MB 7094,472,450,104.8888888888889,472.84615384615387,33,27.916056612981944,0,47,0,0,0,0,0,0,0,0,472,2.923076923076923,0.6192959582790091,104.72037774168975,104.8980990227283,0.17772128103855778,19702,202350,335,4,1.1940298507462688,282,0,0,3,3,2,2,2,2,10
MBW Cimarron,333,399,83.45864661654136,311.9230769230769,7,8.976572133168927,0,29,0,0,0,0,0,0,0,0,333,2.5384615384615383,0.7623007623007623,103.67798891682384,105.16073562848233,1.4827467116584927,19702,202350,211,5,2.3696682464454977,174,0,0,3,3,2,2,2,2,10
MBW Cyclone,333,403,82.63027295,353.61538461538464,16,18.09876006090929,6,28,1,1,0,0,0,0,0,1,333,3.5384615384615383,1.0626010626010625,107.44598624165276,108.24777379338727,0.7299922954467604,19702,202350,258,6,2.3255813953488373,168,0.5952380952380952,1.8018018018018018,3,3,2,2,2,2,10
MBW Yuma,162,203,79.80295566502463,160.92307692307693,5,12.42829828,0,34,0,0,0,0,0,0,0,0,162,2.1538461538461537,1.3295346628679963,103.64384906518055,103.89958604137196,0.22380326674479695,19702,202350,101,3,2.9702970297029703,204,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,251,200,125.49999999999999,224.76923076923077,14,24.91444216290212,0,13,1,1,0,0,0,0,0,1,251,0.076923077,0.030646644,105.83183319991339,105.83183319991339,0,19702,202350,212,0,0,78,1.282051282051282,0,3,3,0,2,0,2,8
SPGNC,182,220,82.72727272727273,181.76923076923077,20,44.01184934405416,0,49,1,1,0,0,0,0,0,1,182,3.3846153846153846,1.8596787827557058,114.68697207473394,114.81235034225593,0.125378268,19702,202350,117,0,0,294,0.3401360544217687,0,3,3,2,2,0,2,10
SPGVA,229,292,78.42465753424658,260,8,12.307692307692308,0,67,0,0,0,0,0,0,0,0,229,1.1538461538461537,0.5038629492777964,113.59307875037125,114.34822442528706,0.6653338075327905,19702,202350,143,0,0,402,0,0,3,3,2,2,0,2,10
MB 7081,219,200,109.5,216.53846153846155,5,9.236234458259325,1,30,0,0,0,0,0,0,0,0,219,1.7692307692307692,0.8078679311556024,107.60160754317248,107.60160754317248,0,19709,202351,106,5,4.716981132075472,180,0,0.456621005,3,3,2,2,2,2,10
MB 7082,181,200,90.5,190.53846153846155,0,0,1,17,0,0,0,0,0,0,0,0,181,1.2307692307692308,0.6799830004249895,105.87651093940785,105.90503595757505,0.018266020405313055,19709,202351,76,2,2.631578947368421,102,0,0.5524861878453038,3,3,2,2,2,2,10
