Boar Stud,Boars Culled,Low Index Culls,WeekCommencing
SPGNC,21,12,12/8/2019
SPGTX,4,4,12/8/2019
High Desert,11,6,12/15/2019
MB 7094,19,9,12/15/2019
Princeton,3,0,12/15/2019
Skyline Boar Stud,198,51,12/15/2019
SPGTX,3,2,12/15/2019
SPGVA,1,1,12/15/2019
MBW Cimarron,1,0,12/22/2019
Princeton,3,2,12/22/2019
SPGTX,2,2,12/22/2019
Ingold,1,0,12/29/2019
MB 7081,20,7,12/29/2019
MBW Yuma,1,1,12/29/2019
Princeton,5,1,12/29/2019
SPGTX,3,0,12/29/2019
SPGVA,30,19,12/29/2019
High Desert,3,2,1/5/2020
MBW Cimarron,30,22,1/5/2020
MBW Cyclone,1,0,1/5/2020
MBW Yuma,6,1,1/5/2020
Princeton,2,1,1/5/2020
SPGTX,3,0,1/5/2020
MB 7082,20,7,1/12/2020
Prestage MS,30,7,1/12/2020
Princeton,5,1,1/12/2020
SPGNC,27,19,1/12/2020
SPGTX,3,1,1/12/2020
Clinton,29,10,1/19/2020
MB 7092,25,15,1/19/2020
MBW Cimarron,1,0,1/19/2020
SPGTX,2,1,1/19/2020
MB 7081,4,0,1/26/2020
MBW Cyclone,7,0,1/26/2020
Norson,1,0,1/26/2020
Princeton,35,1,1/26/2020
SPGTX,2,0,1/26/2020
High Desert,12,4,2/2/2020
MB 7081,21,14,2/2/2020
MB 7093,33,18,2/2/2020
MBW Cimarron,3,0,2/2/2020
MBW Cyclone,5,3,2/2/2020
MBW Yuma,13,11,2/2/2020
Norson,1,0,2/2/2020
Princeton,3,0,2/2/2020
SPGTX,3,3,2/2/2020
SPGVA,28,14,2/2/2020
MBW Cimarron,3,3,2/9/2020
MBW Yuma,2,2,2/9/2020
Norson,1,0,2/9/2020
Princeton,5,1,2/9/2020
SPGTX,4,4,2/9/2020
GCM7-4,50,8,2/16/2020
High Desert,9,3,2/16/2020
Ingold,26,17,2/16/2020
MB 7082,20,7,2/16/2020
MBW Cimarron,2,1,2/16/2020
MBW Cyclone,1,0,2/16/2020
MBW Yuma,1,0,2/16/2020
Norson,62,12,2/16/2020
Princeton,2,1,2/16/2020
SPGNC,34,26,2/16/2020
SPGTX,2,1,2/16/2020
MBW Cimarron,3,1,2/23/2020
Norson,1,0,2/23/2020
Princeton,5,1,2/23/2020
GCM7-4,41,26,3/1/2020
MB 7094,16,7,3/1/2020
MBW Cimarron,4,3,3/1/2020
MBW Cyclone,1,0,3/1/2020
MBW Yuma,1,0,3/1/2020
Norson,1,0,3/1/2020
Princeton,3,1,3/1/2020
SPGTX,48,27,3/1/2020
High Desert,1,0,3/8/2020
MB 7081,21,2,3/8/2020
MBW Cimarron,3,1,3/8/2020
Norson,1,0,3/8/2020
Princeton,33,25,3/8/2020
SPGVA,29,24,3/8/2020
Ingold,1,1,3/15/2020
MBW Cimarron,6,1,3/15/2020
MBW Cyclone,6,3,3/15/2020
Norson,1,0,3/15/2020
Princeton,4,2,3/15/2020
High Desert,3,3,3/22/2020
MB 7082,19,9,3/22/2020
MBW Cimarron,3,0,3/22/2020
MBW Cyclone,1,0,3/22/2020
MBW Yuma,3,1,3/22/2020
Norson,1,0,3/22/2020
Princeton,6,2,3/22/2020
SPGNC,17,8,3/22/2020
SPGTX,1,0,3/22/2020
GCM7-4,78,17,3/29/2020
MB 7092,32,16,3/29/2020
MBW Cimarron,4,2,3/29/2020
MBW Cyclone,4,1,3/29/2020
Norson,1,0,3/29/2020
Princeton,2,0,3/29/2020
GCM7-4,24,7,4/5/2020
MBW Cyclone,9,5,4/5/2020
Norson,1,0,4/5/2020
GCM7-4,24,7,4/5/2020
MBW Cyclone,9,5,4/5/2020
Norson,1,0,4/5/2020
Ingold,25,11,4/12/2020
MB 7081,21,9,4/12/2020
MBW Cyclone,2,1,4/12/2020
MBW Yuma,2,2,4/12/2020
Norson,1,0,4/12/2020
SPGTX,3,1,4/12/2020
SPGVA,28,23,4/12/2020
High Desert,18,8,4/19/2020
MBW Cimarron,1,0,4/19/2020
Norson,1,0,4/19/2020
MB 7082,21,0,4/26/2020
MB 7094,19,0,4/26/2020
MBW Cyclone,2,1,4/26/2020
MBW Yuma,2,1,4/26/2020
Norson,2,1,4/26/2020
SPGNC,20,9,4/26/2020
SPGTX,1,0,4/26/2020
High Desert,10,5,5/3/2020
Norson,1,0,5/3/2020
SPGTX,1,0,5/3/2020
MB 7092,29,29,5/10/20
MBW Yuma,1,1,5/10/20
Norson,1,0,5/10/20
Princeton,3,1,5/10/20
MB 7081,20,1,5/17/2020
MBW Yuma,1,0,5/17/2020
Norson,1,0,5/17/2020
Princeton,4,1,5/17/2020
SPGTX,1,1,5/17/2020
SPGVA,29,29,5/17/2020
MBW Cyclone,20,14,5/24/2020
Norson,34,5,5/24/2020
Princeton,2,0,5/24/2020
Clinton,25,13,5/31/2020
MB 7082,22,11,5/31/2020
MBW Yuma,2,0,5/31/2020
Norson,1,0,5/31/2020
Prestage MS,20,7,5/31/2020
Princeton,7,5,5/31/2020
SPGNC,18,13,5/31/2020
SPGTX,2,0,5/31/2020
MBW Cyclone,1,1,6/7/2020
MBW Yuma,3,3,6/7/2020
Norson,1,0,6/7/2020
Princeton,4,1,6/7/2020
SPGTX,2,1,6/7/2020
GCM23-4,22,7,6/14/2020
Ingold,23,9,6/14/2020
MBW Cyclone,1,0,6/14/2020
MBW Yuma,1,0,6/14/2020
