Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-11-16
High Desert,FASTLR,NA,NA,NA,2020-11-16
High Desert,SPG120,103.99378187834415,108.31680206836592,4.323020190021765,2020-11-16
High Desert,SPG240,0,0,0,2020-11-16
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-11-23
High Desert,FASTLR,NA,NA,NA,2020-11-23
High Desert,SPG120,101.94756230500113,107.6047966121676,5.657234307166476,2020-11-23
High Desert,SPG240,100.68506498355104,100.68506498355104,0,2020-11-23
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-11-23
High Desert,FASTLR,NA,NA,NA,2020-11-23
High Desert,SPG120,101.94756230500113,107.6047966121676,5.657234307166476,2020-11-23
High Desert,SPG240,100.68506498355104,100.68506498355104,0,2020-11-23
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-11-30
High Desert,FASTLR,NA,NA,NA,2020-11-30
High Desert,SPG120,102.91955167772346,110.19007242607447,7.270520748351004,2020-11-30
High Desert,SPG240,104.22031342491654,111.35280450827426,7.132491083357721,2020-11-30
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-11-30
High Desert,FASTLR,NA,NA,NA,2020-11-30
High Desert,SPG120,101.8432640792115,105.74951547934668,3.90625140013519,2020-11-30
High Desert,SPG240,129.0154013172367,129.0154013172367,0,2020-11-30
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-12-07
High Desert,FASTLR,NA,NA,NA,2020-12-07
High Desert,SPG120,104.29961066966982,108.8621626042536,4.56255193458378,2020-12-07
High Desert,SPG240,0,0,0,2020-12-07
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-12-14
High Desert,FASTLR,NA,NA,NA,2020-12-14
High Desert,SPG120,100.77912985611587,107.19905186602695,6.419922009911076,2020-12-14
High Desert,SPG240,0,0,0,2020-12-14
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-12-21
High Desert,FASTLR,NA,NA,NA,2020-12-21
High Desert,SPG120,102.88185636841875,102.88185636841875,0,2020-12-21
High Desert,SPG240,100.78799320992705,100.78799320992705,0,2020-12-21
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-12-28
High Desert,SPG120,103.04371830708013,108.08898765358435,5.045269346504227,2020-12-28
High Desert,SPG240,101.41704175689932,103.4322063579849,2.015164601085573,2020-12-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2020-12-28
High Desert,SPG120,103.04371830708013,108.08898765358435,5.045269346504227,2020-12-28
High Desert,SPG240,101.41704175689932,103.4322063579849,2.015164601085573,2020-12-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-01-04
High Desert,SPG120,106.74848342306562,114.10433689442728,7.355853471361655,2021-01-04
High Desert,SPG240,0,0,0,2021-01-04
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-01-11
High Desert,SPG120,116.51879408725877,116.51879408725877,0,2021-01-11
High Desert,SPG240,0,0,0,2021-01-11
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-01-18
High Desert,SPG120,99.41113611359118,103.44039742888212,4.029261315290938,2021-01-18
High Desert,SPG240,101.8995803328515,101.8995803328515,0,2021-01-18
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-01-25
High Desert,SPG120,113.81587372592875,117.23475641284116,3.4188826869124114,2021-01-25
High Desert,SPG240,100.8708149647044,104.05443841939169,3.183623454687293,2021-01-25
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-01-25
