Boar Stud,Batches,-25%,-20%,-15%,-10%,-5%,0%,+5%,+10%,+15%,20%,+25%
Clinton,114,0,0,0,0,31.92982456140351,33.50877192982456,0,0,0,0,0
GCM7-4,88,0,0,0,0,0,0,0,0,0,0,0
High Desert,52,0,0,0,1.1538461538461537,10.384615384615385,45.76923076923077,31.53846153846154,8.846153846153847,0.7692307692307693,0.38461538461538464,0
Ingold,75,0,0,0,0,0,0,0,0,0,0,0
MB 7081,54,0,0,0,6.296296296296297,50.370370370370374,40.74074074074074,2.2222222222222223,0.37037037037037035,0,0,0
MB 7082,63,0,0,0,1.5873015873015872,19.365079365079364,55.23809523809524,1.9047619047619047,0,0,0,0
MB 7092,219,0.091324200913242,0,0.639269406392694,7.488584474885845,29.680365296803654,31.598173515981735,8.584474885844749,0.547945205479452,0,0,0
MB 7093,154,0.5194805194805194,0,0,2.4675324675324677,46.23376623376623,28.051948051948052,0,0,0,0,0.5194805194805194
MB 7094,69,0,0,0,2.028985507246377,54.78260869565217,43.18840579710145,0,0,0,0,0
MBW Cimarron,73,0,0,0,1.643835616438356,24.65753424657534,63.56164383561644,6.575342465753424,1.643835616438356,0.273972602739726,0,0
MBW Cyclone,50,0,0,0,2.4,29.2,56,10.8,0.8,0,0,0
MBW Illinois,10,0,0,0,4,74,4,0,0,0,0,0
MBW Yuma,71,0,0,0,0.28169014084507044,13.23943661971831,80,6.197183098591549,0,0,0,0
Norson,88,0,0,0,0,0,0,0,0,0,0,0
Prestage MS,88,0,0,0,0,0,0,0,0,0,0,0
Princeton,105,0,0.9523809523809523,4.9523809523809526,16.571428571428573,27.238095238095237,30.095238095238095,16.19047619047619,3.238095238095238,0.7619047619047619,0,0
Skyline Boar Stud,99,0,0,0,0.20202020202020202,3.6363636363636362,92.12121212121212,1.4141414141414141,0.20202020202020202,0,0,0
SPGNC,205,0,0,0,0,37.65853658536585,60.48780487804878,1.853658536585366,0,0,0,0
SPGTX,76,0.5263157894736842,1.0526315789473684,6.315789473684211,9.736842105263158,29.210526315789473,26.57894736842105,19.210526315789473,5.2631578947368425,1.3157894736842106,0.2631578947368421,0
SPGVA,179,1.005586592178771,0.11173184357541899,0.44692737430167595,2.2346368715083798,8.268156424581006,75.3072625698324,5.921787709497207,0.8938547486033519,0.11173184357541899,0,0
