Boar Stud,WeekCommencing,actual,target,Missed Index
MB 7092,2021-03-08,105.56804447989056,105.58905344341252,0.021008963521964574
SPGNC,2021-03-08,111.03691215154629,111.56155460811671,0.5246424565704189
SPGVA,2021-03-08,109.41033558794071,109.41033558794071,0
