Boar Stud,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,rankp
MB 7092,2087942,SPG240,WORKING,2023-07-10,NA,NA,88.1241082706275,152,0.057685009487666035
MB 7093,1450026,SPG240,WORKING,2022-05-15,NA,NA,85.93071536567794,86,0.03263757115749526
MB 7093,1489G,SPG240,WORKING,2020-08-31,NA,NA,89.51253103094406,201,0.076280834914611
MB 7093,1523H,SPG240,WORKING,2020-12-20,NA,NA,89.534205182326275,202,0.07666034155597723
MB 7093,2010599,SPG240,WORKING,2022-07-04,NA,NA,86.89811208805281,114,0.04326375711574953
MB 7093,2010698,SPG240,WORKING,2022-07-04,NA,NA,89.89139571967021,216,0.08197343453510436
MB 7093,2010759,SPG240,WORKING,2022-07-04,NA,NA,88.44143097250793,167,0.0633776091081594
MB 7093,2018815,SPG240,WORKING,2021-10-10,NA,NA,84.79067948596173,69,0.026185958254269448
MB 7093,2018856,SPG240,WORKING,2021-10-10,NA,NA,90.02606165962315,219,0.08311195445920304
MB 7093,2025227,SPG240,WORKING,2021-08-16,NA,NA,88.41139339086645,162,0.06148007590132827
MB 7093,2031167,SPG240,WORKING,2022-03-19,NA,NA,87.79990176560419,140,0.05313092979127135
MB 7093,2031353,SPG240,WORKING,2022-03-19,NA,NA,90.91214370712716,246,0.09335863377609108
MB 7093,2040176,SPG240,WORKING,2022-01-24,NA,NA,84.7089590556632,67,0.025426944971537004
MB 7093,2040539,SPG240,WORKING,2022-01-24,NA,NA,87.54936925432321,132,0.050094876660341556
MB 7093,2047C,SPG240,WORKING,2019-11-11,NA,NA,89.38182991180406,197,0.07476280834914611
MB 7093,2048154,SPG240,WORKING,2022-08-22,NA,NA,78.49444554504946,11,0.004174573055028463
MB 7093,2048262,SPG240,WORKING,2022-08-22,NA,NA,89.81741372251841,213,0.0808349146110057
MB 7093,2048268,SPG240,WORKING,2022-08-22,NA,NA,82.12456531919581,34,0.012903225806451613
MB 7093,2048281,SPG240,WORKING,2022-08-22,NA,NA,88.7034039541156,174,0.06603415559772297
MB 7093,2048949,SPG240,WORKING,2022-05-15,NA,NA,85.9436751014586,87,0.03301707779886148
MB 7093,2049192,SPG240,WORKING,2022-05-15,NA,NA,87.79977544483219,139,0.05275142314990512
MB 7093,2053336,SPG240,WORKING,2022-07-04,NA,NA,90.43136955554847,231,0.08766603415559772
MB 7093,2055522,SPG240,WORKING,2022-08-22,NA,NA,86.65268525352604,108,0.04098671726755218
