Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
MBW Cimarron,191,200,95.5,150,127,125.0209661,7/27/1949,125.0223836,0.001265618,201931,7.046511628,0.638107156,28,71.42857143,40,36,90,84.66666667,0,0.146596859,3,3,3,3,12,31,3,2019,August
MBW Cyclone,193,200,96.5,175,172,124.598077,7/27/1949,124.6417668,0.041049197,201931,7.052631579,0.703256538,11,36.36363636,39,37,94.87179487,98.28571429,0,0.056994819,1,3,3,3,10,31,3,2019,August
MBW Yuma,178,145,122.7586207,147,117,125.0388419,7/27/1949,125.0388419,0,201931,6.966101695,0.818106913,42,57.14285714,72,69,95.83333333,79.59183673,0,0.235955056,3,3,3,3,12,31,3,2019,August
Norson,269,200,134.5,103,26,122.7809955,7/27/1949,124.86669,2.085694505,201931,10.51376147,9.706445624,0,0,38,20,52.63157895,25.24271845,0,0,3,0,0,0,3,31,3,2019,August
Prestage MS,283,0,0,168,147,124.2619449,7/27/1949,124.414134,0.322267051,201931,7.856540084,1.468774369,0,0,94,88,93.61702128,87.5,0,0,3,0,3,3,9,31,3,2019,August
Princeton,393,435,90.34482759,354,332,124.5472871,7/27/1949,124.5708096,0.053451918,201931,7.467741935,1.218249488,114,32.45614035,89,83,93.25842697,93.78531073,0,0.290076336,1,2,3,3,9,31,3,2019,August
Skyline Boar Stud,302,250,120.8,271,181,124.7759924,7/27/1949,124.7770705,0.066267493,201931,9.346666667,5.148231319,66,72.72727273,84,81,96.42857143,66.7896679,0,0.218543046,3,2,1,3,9,31,3,2019,August
SPGTX,70,150,46.66666667,16,13,128.6646135,7/27/1949,128.8118592,1.383626499,201931,8.304347826,2.747682379,0,0,72,66,91.66666667,81.25,0,0,3,0,2,3,8,31,3,2019,August
SPGVA,261,292,89.38356164,104,54,127.7699223,7/27/1949,128.1306871,0.214547438,201931,7.410569106,1.815502989,27,0,102,73,71.56862745,51.92307692,0,0.103448276,0,0,3,1,4,31,3,2019,August
SPGNC,221,220,100.4545455,101,54,128.0539507,7/27/1949,128.1901717,0.149850945,201931,8.756410256,3.02542302,80,10,117,109,93.16239316,53.46534653,0,0.36199095,0,1,2,3,6,31,3,2019,August
Clinton,205,0,0,165,149,124.2535107,8/3/1949,124.3821337,0.165610063,201932,7.383783784,1.683925524,87,16.09195402,93,69,74.19354839,90.3030303,0,0.424390244,0,0,3,1,4,32,3,2019,August
GCM7-4,268,207,129.468599,165,135,124.9511796,8/3/1949,125.1901016,0.846107247,201932,7.877729258,2.460723417,18,0,52,51,98.07692308,81.81818182,0,0.067164179,0,0,3,3,6,32,3,2019,August
High Desert,165,150,110,86,50,125.6367931,8/3/1949,125.6367931,0.040434131,201932,8.708029197,2.485725672,20,70,45,37,82.22222222,58.13953488,0,0.121212121,3,3,2,2,10,32,3,2019,August
Ingold,164,0,0,111,100,124.5691626,8/3/1949,124.6437419,0.07457928,201932,7.45323741,2.233548621,20,60,60,25,41.66666667,90.09009009,0,0.12195122,3,2,3,0,8,32,3,2019,August
MB 7081,196,200,98,135,78,125.3848343,8/3/1949,125.3916642,0.011538414,201932,9.192771084,3.2021123,20,50,91,64,70.32967033,57.77777778,0,0.102040816,3,3,1,1,5,32,3,2019,August
MB 7082,215,200,107.5,111,92,124.7960034,8/3/1949,124.8520949,0.05419685,201932,7.844559585,2.377560886,58,24.138,87,77,88.50574713,82.88288288,0,0.269767442,0,2,3,2,7,32,3,2019,August
MB 7092,566,450,125.7777778,516,469,124.2302025,8/3/1949,124.2632285,0.033026062,201932,7.482378855,1.970734576,34,50,61,58,95.08196721,90.89147287,0,0.060070671,3,3,3,3,12,32,3,2019,August
MB 7093,475,450,105.5555556,476,378,124.578648,8/3/1949,124.5856996,0.007051624,201932,7.616161616,2.019936436,66,30.3030303,100,100,100,79.41176471,0,0.138947368,1,3,3,3,10,32,3,2019,August
MB 7094,413,450,91.77777778,413,393,125.2691187,8/3/1949,125.2859039,0.016785216,201932,6.955380577,1.343837269,35,22.85714286,480,321,66.875,95.15738499,0,0.084745763,0,3,3,0,6,32,3,2019,August
MBW Cimarron,191,200,95.5,150,135,124.5716975,8/3/1949,124.8602971,0.320833153,201932,7.296296296,1.119002708,28,71.42857143,40,36,90,90,0,0.146596859,3,0,3,3,9,32,3,2019,August
MBW Cyclone,193,200,96.5,175,159,124.7350676,8/3/1949,124.8256777,0.086269508,201932,7.042105263,0.26887142,11,36.36363636,39,37,94.87179487,90.85714286,0,0.056994819,1,2,3,3,9,32,3,2019,August
MBW Illinois,35,0,Inf,27,18,241.8711067,8/3/1949,241.8711067,0,201932,14,1.34404301,25,88,18,15,83.33333333,66.66666667,0,0.714285714,3,3,0,2,8,32,3,2019,August
MBW Yuma,170,145,117.2413793,143,124,124.8601418,8/3/1949,124.8601418,0,201932,6.9644970410000004,1.409548607,58,62.06896552,72,69,95.83333333,86.71328671,0,0.341176471,3,3,3,3,12,32,3,2019,August
Norson,269,200,134.5,103,71,123.1575271,8/3/1949,123.7128568,0.555329754,201932,7.098159509,2.100013886,0,0,38,20,52.63157895,68.93203883,0,0,3,0,3,0,6,32,3,2019,August
Prestage MS,282,0,0,167,147,124.3143738,8/3/1949,124.3145034,0.511179351,201932,7.534482759,1.169089885,0,0,63,57,90.47619048,88.0239521,0,0,3,0,3,3,9,32,3,2019,August
Princeton,361,435,82.98850575,323,308,124.7275172,8/3/1949,124.7787423,0.123897121,201932,7.101156069,1.259698075,176,43.75,89,83,93.25842697,95.35603715,0,0.487534626,2,1,3,3,9,32,3,2019,August
Skyline Boar Stud,251,250,100.4,229,192,124.664131,8/3/1949,124.6782767,0.019992742,201932,7.758139535,1.920649296,168,80.95238095,84,81,96.42857143,83.84279476,0,0.669322709,3,3,3,3,12,32,3,2019,August
SPGTX,69,150,46,16,12,128.4263483,8/3/1949,128.912771,0.919521539,201932,9.54,3.327130283,0,0,72,66,91.66666667,75,0,0,3,0,1,3,7,32,3,2019,August
SPGVA,261,292,89.38356164,104,52,127.8431706,8/3/1949,128.1681305,0.265139562,201932,7.05907173,1.326351239,27,0,102,73,71.56862745,50,0,0.103448276,0,0,3,1,4,32,3,2019,August
SPGNC,221,220,100.4545455,101,53,127.9624761,8/3/1949,128.2129364,0.291106365,201932,8.707317073,3.3248933,80,10,89,81,91.01123596,52.47524752,0,0.36199095,0,0,2,3,5,32,3,2019,August
Clinton,225,0,0,164,157,124.1942014,8/10/1949,124.3366486,0.134434527,201933,7.317708333,1.852718099,87,16.09195402,93,69,74.19354839,95.73170732,0,0.386666667,0,1,3,1,5,33,3,2019,August
GCM7-4,265,207,128.0193237,163,123,125.3410316,8/10/1949,125.3410316,0,201933,8.527027027,2.028460217,19,0,52,51,98.07692308,75.4601227,0,0.071698113,0,3,2,3,8,33,3,2019,August
High Desert,155,150,103.3333333,86,19,126.8280622,8/10/1949,126.8280622,0.062400597,201933,7.324074074,2.229071739,20,70,45,37,82.22222222,22.09302326,0,0.129032258,3,2,3,2,10,33,3,2019,August
Ingold,160,0,0,107,99,124.4157255,8/10/1949,124.4784437,0.062718187,201933,8.068027211,3.230123336,20,60,60,25,41.66666667,92.52336449,0,0.125,3,2,2,0,7,33,3,2019,August
MB 7081,216,200,108,119,84,125.3749892,8/10/1949,125.3884629,0.029777044,201933,8.734177215,3.322223416,41,56.09,91,64,70.32967033,70.58823529,0,0.189814815,3,3,2,1,6,33,3,2019,August
MB 7082,214,200,107,110,95,124.7841865,8/10/1949,124.8215878,0.087280784,201933,7.680628272,1.492998263,58,24.138,87,77,88.50574713,86.36363636,0,0.271028037,0,2,3,2,7,33,3,2019,August
MB 7092,559,450,124.2222222,560,532,124.3046183,8/10/1949,124.3867545,0.082136182,201933,7.482378855,2.087151396,34,50,61,58,95.08196721,95,0,0.060822898,3,2,3,3,11,33,3,2019,August
MB 7093,426,450,94.66666667,427,383,124.4470015,8/10/1949,124.4474802,4.79e-4,201933,7.837837838,2.754886969,112,42.85714286,100,100,100,89.69555035,0,0.262910798,2,3,3,3,11,33,3,2019,August
MB 7094,409,450,90.88888889,409,373,125.3539882,8/10/1949,125.3665214,0.012533248,201933,7.246031746,1.476714979,35,22.85714286,480,321,66.875,91.19804401,0,0.085574572,0,3,3,0,6,33,3,2019,August
MBW Cimarron,191,200,95.5,150,112,125.1425335,8/10/1949,125.2252384,0.108793108,201933,7.443786982,0.871902601,28,71.42857143,40,36,90,74.66666667,0,0.146596859,3,1,3,3,10,33,3,2019,August
MBW Cyclone,189,200,94.5,171,157,124.79765,8/10/1949,124.8425772,0.042446548,201933,7.221052632,2.263952377,14,35.71428571,39,37,94.87179487,91.8128655,0,0.074074074,1,3,3,3,10,33,3,2019,August
MBW Illinois,31,0,Inf,23,17,241.6254946,8/10/1949,241.6254946,0,201933,6.416666667,0.775531608,29,79.31034483,18,15,83.33333333,73.91304348,0,0.935483871,3,3,3,2,11,33,3,2019,August
MBW Yuma,163,145,112.4137931,138,117,124.957732,8/10/1949,124.957732,0,201933,7.024691358,1.179275582,64,65.625,72,69,95.83333333,84.7826087,0,0.392638037,3,3,3,3,12,33,3,2019,August
Norson,269,200,134.5,103,74,123.1036928,8/10/1949,123.6510775,0.547384663,201933,9.191616766,8.892215447,0,0,38,20,52.63157895,71.84466019,0,0,3,0,1,0,4,33,3,2019,August
Prestage MS,262,0,0,153,145,124.2156494,8/10/1949,124.2156494,0.321031423,201933,7.47008547,1.112339294,20,35,63,57,90.47619048,94.77124183,0,0.076335878,1,0,3,3,7,33,3,2019,August
Princeton,356,435,81.83908046,319,271,124.8715305,8/10/1949,124.9911674,0.151322734,201933,7.412698413,1.501961781,180,43.88888889,89,83,93.25842697,84.95297806,0,0.505617978,2,0,3,3,8,33,3,2019,August
Skyline Boar Stud,251,250,100.4,229,185,124.7372798,8/10/1949,124.7398844,0.015899985,201933,7.020725389,0.989310309,168,80.95238095,84,81,96.42857143,80.7860262,0,0.669322709,3,3,3,3,12,33,3,2019,August
SPGTX,100,150,66.66666667,15,11,128.4168929,8/10/1949,128.801672,1.724016261,201933,8.863636364,3.260695525,0,0,72,66,91.66666667,73.33333333,0,0,3,3,2,3,11,33,3,2019,August
SPGVA,261,292,89.38356164,82,50,127.9492961,8/10/1949,128.1174538,0.316110302,201933,7.47706422,1.913311749,55,0,102,73,71.56862745,60.97560976,0,0.210727969,0,3,3,1,7,33,3,2019,August
SPGNC,221,220,100.4545455,101,49,127.9775404,8/10/1949,128.2364686,0.37774253,201933,9.029585799,3.204212323,80,10,89,81,91.01123596,48.51485149,0,0.36199095,0,3,1,3,7,33,3,2019,August
Clinton,208,0,0,183,161,124.2375517,8/17/1949,124.6282369,0.372191239,201934,7.117977528,0.940376388,87,16.09195402,82,66,80.48780488,87.97814208,0,0.418269231,0,0,3,2,5,34,3,2019,August
GCM7-4,262,207,126.5700483,161,29,126.9413887,8/17/1949,126.9573298,0.027432183,201934,6.796296296,0.406532954,19,0,52,51,98.07692308,18.01242236,0,0.072519084,0,3,3,3,9,34,3,2019,August
High Desert,205,150,136.6666667,86,3,0,8/17/1949,0,0,201934,9.75,2.855147835,20,70,45,37,82.22222222,3.488372093,0,0.097560976,3,3,1,2,9,34,3,2019,August
Ingold,160,0,0,105,83,124.4507587,8/17/1949,124.7299263,0.279167642,201934,7.547619048,1.324278779,20,60,60,25,41.66666667,79.04761905,0,0.125,3,0,3,0,6,34,3,2019,August
MB 7081,215,200,107.5,130,91,125.5803019,8/17/1949,125.6066324,0.060285409,201934,8.333333333,3.222128772,41,56.09,88,73,82.95454545,70,0,0.190697674,3,2,2,2,6,34,3,2019,August
MB 7082,203,200,101.5,94,86,124.7808729,8/17/1949,124.7857114,0.058586508,201934,7.682051282,1.867087676,58,24.138,87,77,88.50574713,91.4893617,0,0.285714286,0,2,3,2,7,34,3,2019,August
MB 7092,509,450,113.1111111,511,489,124.4011995,8/17/1949,124.4480138,0.04681428,201934,6.772234273,1.587371767,114,56.14035088,111,105,94.59459459,95.69471624,0,0.223968566,3,3,3,3,12,34,3,2019,August
MB 7093,422,450,93.77777778,424,390,124.4109799,8/17/1949,124.4128239,0.001843973,201934,7.25862069,1.958737832,112,42.85714286,100,100,100,91.98113208,0,0.265402844,2,3,3,3,11,34,3,2019,August
MB 7094,374,450,83.11111111,405,380,125.2771206,8/17/1949,125.3207907,0.043670086,201934,6.893617021,1.639304471,35,22.85714286,350,195,55.71428571,93.82716049,0,0.093582888,0,3,3,0,6,34,3,2019,August
MBW Cimarron,230,200,115,148,102,125.2915257,8/17/1949,125.3392016,0.138467755,201934,7.401098901,1.701023059,34,64.70588235,40,36,90,68.91891892,0,0.147826087,3,1,3,3,10,34,3,2019,August
MBW Cyclone,183,200,91.5,168,159,124.6811591,8/17/1949,124.6877182,0.006207722,201934,7.095744681,0.853669637,18,33.33333333,39,37,94.87179487,94.64285714,0,0.098360656,1,3,3,3,10,34,3,2019,August
MBW Illinois,31,0,Inf,23,15,242.4072298,8/17/1949,242.5078932,0.100663361,201934,8.678571429,3.197841534,31,74.19354839,18,15,83.33333333,65.2173913,0,1,3,1,2,2,8,34,3,2019,August
MBW Yuma,143,145,98.62068966,126,120,124.8672356,8/17/1949,124.8704465,0.002875412,201934,7,1.326862231,102,70.58823529,72,69,95.83333333,95.23809524,0,0.713286713,3,3,3,3,12,34,3,2019,August
Norson,268,200,134,103,66,123.1632643,8/17/1949,123.8031469,0.639882562,201934,6.73125,2.079313732,0,0,38,20,52.63157895,64.0776699,0,0,3,0,3,0,6,34,3,2019,August
Prestage MS,259,0,0,152,142,124.2654059,8/17/1949,124.2662078,0.007470837,201934,7.228813559,0.859599283,20,35,63,57,90.47619048,93.42105263,0,0.077220077,1,3,3,3,10,34,3,2019,August
Princeton,445,435,102.2988506,313,236,125.0971234,8/17/1949,125.2274306,0.157788751,201934,5.975103734,2.575405002,190,42.10526316,89,83,93.25842697,75.39936102,0,0.426966292,2,0,2,3,7,34,3,2019,August
Skyline Boar Stud,289,250,115.6,229,180,124.7484956,8/17/1949,124.7579567,0.050124665,201934,8.492822967,3.905272099,168,80.95238095,84,81,96.42857143,78.60262009,0,0.581314879,3,2,2,3,10,34,3,2019,August
SPGTX,100,150,66.66666667,21,13,128.4313147,8/17/1949,128.7977683,1.959313968,201934,9.725490196,3.661029535,0,0,104,96,92.30769231,61.9047619,0,0,3,3,1,3,10,34,3,2019,August
SPGVA,261,292,89.38356164,89,49,127.8875805,8/17/1949,128.2864303,0.681277467,201934,7.37037037,1.484089509,55,0,104,91,87.5,55.05617978,0,0.210727969,0,3,3,2,8,34,3,2019,August
SPGNC,221,220,100.4545455,101,50,128.1021671,8/17/1949,128.3869277,0.577307497,201934,8.982035928,3.288301744,80,10,89,81,91.01123596,49.5049505,0,0.36199095,0,3,2,3,8,34,3,2019,August
Clinton,208,0,0,170,159,124.2435704,8/24/1949,124.4745288,0.219894439,201935,7.426315789,1.591093632,104,16.34615385,82,66,80.48780488,93.52941176,0,0.5,0,0,3,2,5,35,3,2019,September
High Desert,205,150,136.6666667,136,6,0,8/24/1949,0,0,201935,9.185430464,2.64928663,20,70,45,37,82.22222222,4.411764706,0,0.097560976,3,3,1,2,9,35,3,2019,September
Ingold,160,0,0,82,70,124.4604702,8/24/1949,124.663576,0.203105829,201935,7.654205607,1.608367294,49,42.85714286,60,25,41.66666667,85.36585366,0,0.30625,2,0,3,0,5,35,3,2019,September
MB 7081,214,200,107,129,93,125.4710753,8/24/1949,125.6418852,0.168639739,201935,8.972067039,3.152366986,41,56.09,88,73,82.95454545,72.09302326,0,0.191588785,3,0,2,2,4,35,3,2019,September
MB 7082,203,200,101.5,104,100,124.89278,8/24/1949,124.9229683,0.050556235,201935,6.906976744,0.703007856,87,33.33,87,77,88.50574713,96.15384615,0,0.428571429,1,2,3,2,7,35,3,2019,September
MB 7092,507,450,112.6666667,507,442,124.579825,8/24/1949,124.6529945,0.073169458,201935,7.51635514,1.772074238,114,56.14035088,111,105,94.59459459,87.17948718,0,0.224852071,3,2,3,3,11,35,3,2019,September
MB 7093,422,450,93.77777778,422,359,124.5896437,8/24/1949,124.5971206,0.007476862,201935,7.524216524,1.467304778,112,42.85714286,100,100,100,85.07109005,0,0.265402844,2,3,3,3,11,35,3,2019,September
MB 7094,374,450,83.11111111,374,373,125.2775102,8/24/1949,125.2775102,0,201935,7.053050398,1.806415129,65,43.07692308,350,195,55.71428571,99.73262032,0,0.173796791,2,3,3,0,8,35,3,2019,September
MBW Cimarron,230,200,115,175,129,125.4740445,8/24/1949,125.4771273,0.094352907,201935,6.562211982,1.012446017,34,64.70588235,83,75,90.36144578,73.71428571,0,0.147826087,3,2,3,3,11,35,3,2019,September
MBW Cyclone,183,200,91.5,167,161,124.6247475,8/24/1949,124.6375098,0.012230556,201935,6.923497268,0.59728765,21,28.57142857,39,37,94.87179487,96.40718563,0,0.114754098,0,3,3,3,9,35,3,2019,September
MBW Illinois,30,0,Inf,22,15,241.9856193,8/24/1949,241.9856193,0,201935,8,2.742956347,31,74.19354839,18,15,83.33333333,68.18181818,0,1.033333333,3,3,3,2,11,35,3,2019,September
MBW Yuma,143,145,98.62068966,125,110,124.9871615,8/24/1949,124.9913836,0.003715479,201935,6.985915493,0.930079807,103,69.90291262,72,69,95.83333333,88,0,0.72027972,3,3,3,3,12,35,3,2019,September
Norson,267,200,133.5,102,58,123.3352154,8/24/1949,123.9719951,0.636779633,201935,6.948148148,4.714725295,0,0,38,20,52.63157895,56.8627451,0,0,3,0,3,0,6,35,3,2019,September
Prestage MS,259,0,0,152,133,124.2328703,8/24/1949,124.4658233,0.535063092,201935,7.01826484,0.331295349,20,35,63,57,90.47619048,87.5,0,0.077220077,1,0,3,3,7,35,3,2019,September
Princeton,445,435,102.2988506,373,306,125.1426729,8/24/1949,125.3180312,0.181034482,201935,8.610223642,3.106262948,195,42.05128205,89,83,93.25842697,82.03753351,0,0.438202247,2,0,2,3,7,35,3,2019,September
Skyline Boar Stud,289,250,115.6,261,181,125.1442431,8/24/1949,125.1789438,0.07306318,201935,8.642156863,4.864102675,168,80.95238095,84,81,96.42857143,69.348659,0,0.581314879,3,2,2,3,10,35,3,2019,September
SPGTX,99,150,66,21,8,128.4027382,8/24/1949,129.0734349,3.149983774,201935,8.641509434,3.282203409,0,0,104,96,92.30769231,38.0952381,0,0,3,3,2,3,11,35,3,2019,September
SPGVA,261,292,89.38356164,89,53,128.1635348,8/24/1949,128.3956919,0.53442478,201935,8.021834061,2.233016634,55,0,104,91,87.5,59.5505618,0,0.210727969,0,3,2,2,7,35,3,2019,September
SPGNC,220,220,100,92,48,128.059368,8/24/1949,128.2297309,0.131104954,201935,8.847133758,3.178787071,102,19.60784314,89,81,91.01123596,52.17391304,0,0.463636364,0,3,2,3,8,35,3,2019,September
Clinton,208,0,0,170,149,124.1226643,8/31/1949,124.6096068,0.47138030400000003,201936,6.237569061,1.554178115,104,16.34615385,82,66,80.48780488,87.64705882,0,0.5,0,0,3,2,5,36,3,2019,September
High Desert,205,150,136.6666667,136,123,124.9136764,8/31/1949,125.0479279,0.120532431,201936,10.09482759,2.344200794,20,70,95,81,85.26315789,90.44117647,0,0.097560976,3,1,0,2,6,36,3,2019,September
Ingold,159,0,0,113,109,124.9747874,8/31/1949,124.9809341,0.006146756,201936,6.612676056,2.57056053,49,42.85714286,60,25,41.66666667,96.46017699,0,0.308176101,2,3,3,0,8,36,3,2019,September
MB 7081,214,200,107,129,105,125.3209725,8/31/1949,125.3209725,0,201936,8.177777778,2.942950208,41,56.09,88,73,82.95454545,81.39534884,0,0.191588785,3,3,2,2,7,36,3,2019,September
MB 7082,202,200,101,104,101,124.8563687,8/31/1949,124.8563687,0.028926947,201936,6.700534759,1.740148842,87,33.33,107,96,89.71962617,97.11538462,0,0.430693069,1,3,3,2,8,36,3,2019,September
MB 7092,502,450,111.5555556,502,422,124.641035,8/31/1949,124.6667933,0.025758371,201936,7.174887892,1.977604239,114,56.14035088,111,105,94.59459459,84.06374502,0,0.227091633,3,3,3,3,12,36,3,2019,September
MB 7093,421,450,93.55555556,421,402,124.3078429,8/31/1949,124.3105317,0.002688869,201936,6.158469945,1.688647626,112,42.85714286,100,100,100,95.48693587,0,0.266033254,2,3,3,3,11,36,3,2019,September
MB 7094,374,450,83.11111111,374,303,125.6644861,8/31/1949,125.6859011,0.021415004,201936,6.375342466,1.029213508,65,43.07692308,350,195,55.71428571,81.01604278,0,0.173796791,2,3,3,0,8,36,3,2019,September
MBW Cimarron,227,200,113.5,172,158,124.9713117,8/31/1949,124.9728042,0.070626008,201936,7.525345622,0.986272911,36,66.66666667,83,75,90.36144578,91.86046512,0,0.158590308,3,2,3,3,11,36,3,2019,September
MBW Cyclone,219,200,109.5,167,154,124.7697536,8/31/1949,124.7919999,0.020881481,201936,6.972375691,0.510238933,21,28.57142857,39,37,94.87179487,92.21556886,0,0.095890411,0,3,3,3,9,36,3,2019,September
MBW Illinois,26,0,Inf,19,12,242.851626,8/31/1949,242.851626,0,201936,7.739130435,2.434923768,36,75,18,15,83.33333333,63.15789474,0,1.384615385,3,3,3,2,11,36,3,2019,September
MBW Yuma,182,145,125.5172414,125,110,125.0042452,8/31/1949,125.0077223,0.003187345,201936,6.611510791,1.432089744,103,69.90291262,39,37,94.87179487,88,0,0.565934066,3,3,3,3,12,36,3,2019,September
Norson,267,200,133.5,102,57,123.2556575,8/31/1949,124.0139544,0.758296894,201936,6.267123288,2.118200589,0,0,38,20,52.63157895,55.88235294,0,0,3,0,3,0,6,36,3,2019,September
Prestage MS,258,0,0,151,142,124.3110099,8/31/1949,124.3110099,0.280735244,201936,7.295964126,1.04076022,20,35,63,57,90.47619048,94.0397351,0,0.07751938,1,0,3,3,7,36,3,2019,September
Princeton,440,435,101.1494253,368,312,125.0865478,8/31/1949,125.2668157,0.352628124,201936,7.41322314,1.132172079,198,41.91919192,189,178,94.17989418,84.7826087,0,0.45,2,0,3,3,8,36,3,2019,September
Skyline Boar Stud,284,250,113.6,256,193,125.0545545,8/31/1949,125.0585444,0.00377475,201936,8.77027027,4.679445661,169,80.47337278,124,119,95.96774194,75.390625,0,0.595070423,3,3,2,3,11,36,3,2019,September
SPGTX,155,150,103.3333333,70,14,128.5504673,8/31/1949,0,0,201936,10.78571429,3.513505443,0,0,104,96,92.30769231,20,0,0,3,3,0,3,9,36,3,2019,September
SPGVA,261,292,89.38356164,89,36,128.3088203,8/31/1949,128.6832707,0.619675174,201936,7.086956522,2.156987722,55,25.45454545,104,91,87.5,40.4494382,0,0.210727969,0,3,3,2,8,36,3,2019,September
SPGNC,219,220,99.54545455,94,48,128.037902,8/31/1949,128.2134757,0.309021357,201936,8.654320988,3.320033278,102,19.60784314,112,94,83.92857143,51.06382979,0,0.465753425,0,3,2,2,7,36,3,2019,September
Clinton,208,0,0,170,140,124.4559984,9/7/1949,124.7899829,0.32964158,201937,8.502994012,2.454094811,104,16.34615385,82,66,80.48780488,82.35294118,0,0.5,0,0,2,2,4,37,3,2019,September
High Desert,203,150,135.3333333,134,2,0,9/7/1949,0,0.130847574,201937,7.631578947,3.37943588,20,70,95,81,85.26315789,1.492537313,0,0.098522167,3,1,3,2,9,37,3,2019,September
Ingold,158,0,0,112,92,125.2654788,9/7/1949,125.2967035,0.031224685,201937,7.890625,1.608218925,49,42.85714286,92,57,61.95652174,82.14285714,0,0.310126582,2,3,3,0,8,37,3,2019,September
MB 7081,194,200,97,115,71,125.5675277,9/7/1949,125.6470712,0.08266403,201937,8.593333333,2.990132916,41,56.09,88,73,82.95454545,61.73913043,0,0.211340206,3,2,2,2,6,37,3,2019,September
MB 7082,201,200,100.5,103,84,125.2318278,9/7/1949,125.2318278,0,201937,8.301587302,1.320480094,87,33.33,84,74,88.0952381,81.55339806,0,0.432835821,1,3,2,2,7,37,3,2019,September
MB 7092,458,450,101.7777778,458,406,124.7338059,9/7/1949,124.7619912,0.0281853,201937,8.015625,2.08056169,114,56.14035088,111,105,94.59459459,88.64628821,0,0.248908297,3,3,2,3,11,37,3,2019,September
MB 7093,469,450,104.2222222,419,335,124.7229528,9/7/1949,124.7255569,0.002604059,201937,9.008695652,3.279150979,112,42.85714286,100,100,100,79.9522673,0,0.23880597,2,3,1,3,9,37,3,2019,September
MB 7094,372,450,82.66666667,372,319,125.5440433,9/7/1949,125.5851702,0.041126935,201937,7.192926045,1.181066272,65,43.07692308,350,195,55.71428571,85.75268817,0,0.174731183,2,3,3,0,8,37,3,2019,September
MBW Cimarron,197,200,98.5,157,111,125.7924943,9/7/1949,125.7997792,0.074916691999999993,201937,6.845360825,1.016345237,36,66.66666667,83,75,90.36144578,70.70063694,0,0.182741117,3,2,3,3,11,37,3,2019,September
MBW Cyclone,218,200,109,198,170,125.2612352,9/7/1949,125.308295,0.043642012,201937,7.127071823,0.850089368,21,28.57142857,75,71,94.66666667,85.85858586,0,0.096330275,0,3,3,3,9,37,3,2019,September
MBW Illinois,14,0,Inf,14,14,242.4517304,9/7/1949,242.4517304,0,201937,8.071428571,2.268997939,36,75,18,15,83.33333333,100,0,2.571428571,3,3,2,2,10,37,3,2019,September
MBW Yuma,179,145,123.4482759,156,149,125.0841063,9/7/1949,125.1625555,0.071230003,201937,7.335365854,1.991631076,103,69.90291262,78,69,88.46153846,95.51282051,0,0.575418994,3,2,3,2,10,37,3,2019,September
Norson,264,200,132,102,56,123.3885723,9/7/1949,124.0975746,0.709002294,201937,6,3.667676629,0,0,38,20,52.63157895,54.90196078,0,0,3,0,3,0,6,37,3,2019,September
Prestage MS,256,0,0,151,140,124.3738942,9/7/1949,124.3968763,0.026872773,201937,7.121212121,0.86125808,20,35,63,57,90.47619048,92.71523179,0,0.078125,1,3,3,3,10,37,3,2019,September
Princeton,413,435,94.94252874,344,331,125.1196916,9/7/1949,125.1402071,0.309892133,201937,7.521303258,1.708366143,198,41.91919192,189,178,94.17989418,96.22093023,0,0.479418886,2,0,3,3,8,37,3,2019,September
Skyline Boar Stud,282,250,112.8,254,178,125.2158452,9/7/1949,125.2161784,0.008425978,201937,10.24894515,6.514752566,169,80.47337278,124,119,95.96774194,70.07874016,0,0.59929078,3,3,0,3,9,37,3,2019,September
SPGTX,155,150,103.3333333,70,30,128.3270772,9/7/1949,128.6573886,0.836191731,201937,9.0125,3.678517003,0,0,161,114,70.80745342,42.85714286,0,0,3,3,1,1,8,37,3,2019,September
SPGVA,260,292,89.04109589,88,63,127.4750153,9/7/1949,127.8473745,0.782020583,201937,8.577114428,3.019151144,55,25.45454545,104,91,87.5,71.59090909,0,0.211538462,0,3,2,2,7,37,3,2019,September
SPGNC,218,220,99.09090909,93,48,128.0269114,9/7/1949,128.1604265,0.287493392,201937,9.019480519,3.208385213,102,19.60784314,95,78,82.10526316,51.61290323,0,0.467889908,0,3,1,2,6,37,3,2019,September
Clinton,185,0,0,149,136,124.4628269,9/14/1949,124.573631,0.112005685,201938,8.181818182,2.521306106,104,16.34615385,82,66,80.48780488,91.27516779,0,0.562162162,0,1,2,2,5,38,3,2019,September
High Desert,202,150,134.6666667,133,4,0,9/14/1949,0,0,201938,10.58208955,3.928493383,20,70,95,81,85.26315789,3.007518797,0,0.099009901,3,3,0,2,8,38,3,2019,September
Ingold,157,0,0,111,93,125.4157622,9/14/1949,125.4588027,0.04304054,201938,8.185185185,2.83418678,49,42.85714286,92,57,61.95652174,83.78378378,0,0.312101911,2,3,2,0,7,38,3,2019,September
