Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
MB 7093,503,500,100.6,504,496,123.6148537,2/2/1949,123.6478027,0.032948984,201906,5.454361055,0.901921079,0,0,90,88,97.77777778,98.41269841,0,0,3,3,2,3,11,6,1,2019,February
MBW Cimarron,184,200,92,151,91,124.2186467,2/2/1949,124.3320298,0.113383134,201906,7.923076923,1.475998451,0,0,39,36,92.30769231,60.26490066,0,0,3,1,3,3,10,6,1,2019,February
MBW Cyclone,189,200,94.5,160,147,123.8280476,2/2/1949,123.9354176,0.107370045,201906,7.25308642,0.979997011,0,0,46,28,60.86956522,91.875,0,0,3,1,3,0,7,6,1,2019,February
MBW Illinois,28,40,70,19,16,233.3199988,2/2/1949,235.9216714,2.601672605,201906,7.56,0.820568908,0,0,15,9,60,84.21052632,0,0,0,0,3,0,3,6,1,2019,February
MBW Yuma,193,210,91.9047619,164,130,124.1919549,2/2/1949,124.2150162,0.023061287,201906,7.362637363,1.09258155,0,0,79,74,93.67088608,79.26829268,0,0,3,3,3,3,12,6,1,2019,February
Princeton,423,428,98.8317757,383,277,124.108548,2/2/1949,124.7278013,0.619253344,201906,8.655518395,4.029054877,0,0,100,56,56,72.32375979,0,0,3,0,2,0,5,6,1,2019,February
Skyline Boar Stud,392,365,107.3972603,335,192,123.5022855,2/2/1949,124.2191631,0.71687762,201906,8.453703704,2.913909734,0,0,96,15,15.625,57.31343284,0,0,3,0,2,0,5,6,1,2019,February
SPGVA,281,292,96.23287671,109,76,125.6252217,2/2/1949,126.4999411,0.874719416,201906,8.148648649,3.432671476,0,0,122,51,41.80327869,69.72477064,0,0,3,0,2,0,5,6,1,2019,February
SPGNC,218,220,99.09090909,88,48,126.4414199,2/2/1949,126.67759,0.236170079,201906,8.505952381,2.905697529,0,0,123,109,88.61788618,54.54545455,0,0,3,0,2,2,7,6,1,2019,February
High Desert,162,150,108,118,54,125.1427583,2/9/1949,125.4018876,0.259129208,201907,9.514084507,2.302437547,0,0,88,85,96.59090909,45.76271186,0,0,3,0,1,3,7,7,1,2019,February
MB 7081,221,220,100.4545455,116,93,124.0184865,2/9/1949,124.1024785,0.083992,201907,8.853503185,4.240850312,0,0,100,91,91,80.17241379,0,0,3,2,2,3,10,7,1,2019,February
MB 7082,217,220,98.63636364,112,87,124.1950593,2/9/1949,124.2403662,0.045306834,201907,8.242937853,3.1230027,0,0,102,79,77.45098039,77.67857143,0,0,3,3,2,1,9,7,1,2019,February
MB 7092,546,600,91,546,459,123.5990167,2/9/1949,123.87044590000001,0.271429229,201907,6.676300578,2.025712372,0,0,140,138,98.57142857,84.06593407,0,0,3,0,3,3,9,7,1,2019,February
MB 7093,501,500,100.2,502,492,123.4368734,2/9/1949,123.4702857,0.033412297,201907,5.823170732,1.897375105,0,0,90,88,97.77777778,98.00796813,0,0,3,3,2,3,11,7,1,2019,February
MBW Cimarron,223,200,111.5,149,71,124.3642184,2/9/1949,124.6344733,0.27025485,201907,7.445255474,0.984584923,0,0,39,36,92.30769231,47.65100671,0,0,3,0,3,3,9,7,1,2019,February
MBW Cyclone,214,200,107,150,141,123.8889294,2/9/1949,123.8920541,0.003124759,201907,6.956521739,0.769316467,0,0,46,28,60.86956522,94,0,0,3,3,3,0,9,7,1,2019,February
