BoarID,Consecutive Failed Collections
10107,1
10209,1
2000173,1
2030953,1
2052789,3
2054728,1
2070229,1
2071607,2
2073897,1
2078608,1
2080375,1
2080438,1
2080501,2
2080617,1
2080695,1
2080830,1
2081499,1
2084640,1
2087003,1
2087084,2
2087736,1
2087923,1
2096251,2
2096304,2
2096445,1
2096716,1
2097085,1
2097695,1
2097712,2
2097785,1
2098601,1
2099973,8
2103624,1
2103680,1
2103829,1
2104006,1
2105679,3
2106167,8
2106243,8
2106745,8
40379,8
64464,8
70486,3
