Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
SPGVA,58054,PICL02,WORKING,20001175214,2021-03-09,YES,TR,NO,NA,NA,NA,NA
SPGVA,58055,PICL02,WORKING,20001175211,2021-03-09,YES,TR,NO,NA,NA,NA,NA
SPGVA,58056,PICL02,WORKING,20001175210,2021-03-09,YES,TR,NO,NA,NA,NA,NA
SPGVA,58060,PICL02,WORKING,20001175229,2021-03-11,YES,US,YES,NA,NA,NA,NA
SPGVA,58063,PICL02,WORKING,20001175148,2021-03-09,YES,US,YES,NA,NA,NA,NA
SPGVA,58064,PICL02,WORKING,20001175213,2021-03-09,YES,TR,NO,NA,NA,NA,NA
SPGVA,58065,PICL02,WORKING,20001175291,2021-03-14,YES,US,YES,NA,NA,NA,NA
SPGVA,58066,PICL02,WORKING,20001175293,2021-03-14,YES,US,YES,NA,NA,NA,NA
MB 7092,5807G,SPG240,WORKING,20001337668,2021-03-14,YES,US,YES,98.96499178256917,NA,NA,NA
SPGVA,5816G,SPG240,WORKING,20001175153,2021-03-09,YES,US,YES,119.11715660257529,NA,NA,NA
MB 7092,582J6,SPG240,WORKING,20001337407,2021-03-09,YES,US,YES,107.13830277131161,NA,NA,NA
SPGVA,5845D,SPG120,WORKING,20001175269,2021-03-14,YES,US,YES,109.83485725510685,CTH,2021-01-18,NA
MB 7092,5848F,SPG240,WORKING,20001337401,2021-03-09,YES,US,YES,114.0779923606308,NA,NA,NA
SPGVA,5850F,SPG240,WORKING,20001175162,2021-03-09,YES,US,YES,109.39632953476202,NA,NA,NA
MB 7092,586H5,SPG240,WORKING,20001337670,2021-03-14,YES,US,YES,98.56338857960853,NA,NA,NA
SPGNC,5898G,SPG240,WORKING,20001149179,2021-03-14,YES,TR,NO,106.48837007742206,CTH,2021-03-08,NA
MB 7092,590J6,SPG240,NONWORKING,20001337368,2021-03-08,YES,TR,NO,100.16225932405895,NA,NA,NA
SPGNC,5976F,SPG240,WORKING,20001149194,2021-03-14,YES,US,YES,106.98146196580214,NA,NA,NA
SPGNC,5991D,SPG120,WORKING,20001149070,2021-03-10,YES,US,NO,109.14243022848385,NA,NA,NA
SPGNC,6024E,SPG240,WORKING,20001149198,2021-03-14,YES,US,YES,106.62407012254823,NA,NA,NA
SPGVA,6028C,SPG240,WORKING,20001175172,2021-03-09,YES,US,NO,93.21407450602621,NA,NA,NA
MB 7092,6080G,SPG240,WORKING,20001337666,2021-03-14,YES,US,YES,100.52624186433395,NA,NA,NA
MB 7092,6081G,SPG240,WORKING,20001337390,2021-03-09,YES,TR,NO,96.44330992562483,NA,NA,NA
SPGNC,6096F,SPG240,WORKING,20001148982,2021-03-08,YES,US,NO,97.747322731446,NA,NA,NA
MB 7092,616J6,SPG240,WORKING,20001337503,2021-03-11,YES,US,YES,109.70056806082931,NA,NA,NA
