Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
SPGVA,1014G,SPG240,WORKING,20001175136,2021-03-08,YES,US,NO,100.37763663094789,CTH,2021-01-25,NA
SPGVA,1014G,SPG240,WORKING,20001175310,2021-03-14,YES,US,YES,100.37763663094789,CTH,2021-01-25,NA
MB 7092,1044J,SPG240,WORKING,20001337590,2021-03-12,YES,US,YES,100.60815689796634,NA,NA,NA
MB 7092,106H9,SPG240,WORKING,20001337638,2021-03-14,YES,US,YES,104.98490063018546,NA,NA,NA
MB 7092,1094G,SPG240,WORKING,20001337521,2021-03-11,YES,US,YES,104.06735315771431,NA,NA,NA
SPGVA,1103E,SPG120,WORKING,20001175266,2021-03-14,YES,US,YES,110.40700601357905,CTH,2021-02-22,NA
MB 7092,1108J,SPG240,WORKING,20001337606,2021-03-12,YES,US,YES,101.1732773566942,NA,NA,NA
MB 7092,1109C,SPG240,WORKING,20001337615,2021-03-14,YES,US,YES,110.74356126752012,NA,NA,NA
MB 7092,1110J,SPG240,WORKING,20001337644,2021-03-14,YES,US,YES,100.4593163541888,NA,NA,NA
MB 7092,1116C,SPG240,WORKING,20001337352,2021-03-08,YES,US,YES,103.53125130979073,NA,NA,NA
MB 7092,1117C,SPG240,WORKING,20001337647,2021-03-14,YES,US,YES,99.6394363525472,NA,NA,NA
MB 7092,1130C,SPG240,WORKING,20001337531,2021-03-11,YES,US,YES,98.8308752975156,NA,NA,NA
SPGVA,1137G,SPG240,WORKING,20001175127,2021-03-08,YES,US,NO,99.33253168909458,CTH,2021-01-25,NA
MB 7092,1145C,SPG240,WORKING,20001337412,2021-03-09,YES,US,YES,115.09260129738105,NA,NA,NA
MB 7092,1148H,SPG240,NONWORKING,20001337474,2021-03-11,YES,TR,NO,87.22566079459015,NA,NA,NA
SPGNC,1149G,SPG240,WORKING,20001148988,2021-03-08,YES,US,NO,121.82332263954697,NA,NA,NA
SPGNC,1149G,SPG240,WORKING,20001149188,2021-03-14,YES,US,YES,121.82332263954697,NA,NA,NA
SPGVA,1168G,SPG240,WORKING,20001175261,2021-03-11,YES,US,YES,106.90022417901336,NA,NA,NA
MB 7092,1170H,SPG240,WORKING,20001337380,2021-03-09,YES,US,YES,114.1665232082245,NA,NA,NA
MB 7092,1212H,SPG240,WORKING,20001337451,2021-03-10,YES,US,YES,106.41542284131675,NA,NA,NA
SPGVA,1224J,SPG110,WORKING,20001175178,2021-03-09,YES,US,NO,116.94873426969899,NA,NA,NA
SPGNC,1261G,SPG240,WORKING,20001148993,2021-03-08,YES,US,NO,131.99985734841675,Nucleus,2021-02-22,NA
SPGNC,1261G,SPG240,WORKING,20001149193,2021-03-14,YES,US,YES,131.99985734841675,Nucleus,2021-02-22,NA
SPGVA,1262H,SPG240,WORKING,20001175175,2021-03-09,YES,US,NO,88.7224166089563,CTH,2021-03-01,NA
SPGVA,1266C,SPG240,WORKING,20001175302,2021-03-14,YES,US,YES,103.67984224940751,NA,NA,NA
SPGVA,1272G,SPG240,WORKING,20001175301,2021-03-14,YES,TR,NO,103.81257351729403,NA,NA,NA
MB 7092,1294C,SPG240,WORKING,NA,NA,NO,NA,NO,91.08812994100234,NA,NA,NA
MB 7092,1295C,SPG240,WORKING,20001337530,2021-03-11,YES,US,YES,105.0947847074642,NA,NA,NA
SPGNC,1311J,SPG110,WORKING,20001149005,2021-03-08,YES,US,NO,117.43425570311584,NA,NA,NA
MB 7092,1323C,SPG240,WORKING,20001337532,2021-03-11,YES,US,YES,105.73150117702582,NA,NA,NA
SPGVA,1338H,SPG240,WORKING,20001175245,2021-03-11,YES,US,YES,114.91825399397818,CTH,2021-02-22,NA
SPGVA,1338H,SPG240,WORKING,20001175134,2021-03-08,YES,US,NO,114.91825399397818,CTH,2021-02-22,NA
SPGNC,1354H,SPG240,WORKING,20001148991,2021-03-08,YES,US,NO,120.88596992126052,West Trial,2021-01-25,NA
SPGNC,1354H,SPG240,WORKING,20001149182,2021-03-14,YES,US,YES,120.88596992126052,West Trial,2021-01-25,NA
SPGVA,1389G,SPG240,WORKING,20001175154,2021-03-09,YES,US,YES,114.16089783842115,NA,NA,NA
MB 7092,1414H,SPG240,WORKING,20001337456,2021-03-10,YES,TR,NO,91.03755075299757,NA,NA,NA
SPGVA,1423H,SPG240,WORKING,20001175253,2021-03-11,YES,TR,NO,95.8760160464319,Nuc/CTH,2021-02-01,NA
SPGNC,1489J,SPG110,WORKING,20001149055,2021-03-10,YES,US,NO,111.12130437654513,NA,NA,NA
SPGVA,1490J,SPG110,WORKING,20001175194,2021-03-09,YES,US,NO,118.15025125580948,NA,NA,NA
MB 7092,156K4,SPG240,WORKING,20001337618,2021-03-14,YES,US,YES,107.85221615575826,NA,NA,NA
MB 7092,1617J,SPG240,WORKING,20001337346,2021-03-08,YES,US,YES,99.80982146345858,NA,NA,NA
MB 7092,1628G,SPG240,NONWORKING,20001337359,2021-03-08,YES,TR,NO,89.09689522691549,NA,NA,NA
SPGNC,1658G,SPG240,WORKING,20001149115,2021-03-11,YES,US,YES,114.67133945512995,NA,NA,NA
SPGVA,1669J,SPG240,WORKING,20001175255,2021-03-11,YES,US,YES,105.9755089428655,NA,NA,NA
MB 7092,1672J,SPG240,WORKING,20001337646,2021-03-14,YES,US,YES,99.42306765584276,NA,NA,NA
MB 7092,170J8,SPG240,WORKING,20001337516,2021-03-11,YES,US,YES,106.28172522350488,NA,NA,NA
SPGNC,1758G,SPG240,WORKING,20001149175,2021-03-14,YES,US,YES,127.16742804430521,Nuc/CTH,2021-03-01,NA
SPGNC,1767G,SPG240,WORKING,20001148989,2021-03-08,YES,US,NO,95.00741637658001,NA,NA,NA
SPGNC,1806G,SPG240,WORKING,20001149028,2021-03-09,YES,US,YES,119.68849887090866,NA,NA,NA
MB 7092,180K4,SPG240,WORKING,20001337398,2021-03-09,YES,US,YES,116.17907887948053,NA,NA,NA
SPGNC,1814J,SPG110,WORKING,20001149004,2021-03-08,YES,US,NO,113.09249552529354,NA,NA,NA
MB 7092,181K4,SPG240,WORKING,20001337405,2021-03-09,YES,US,YES,110.70412948402848,NA,NA,NA
MB 7092,182C1,SPG240,WORKING,20001337625,2021-03-14,YES,US,YES,105.11842824167297,NA,NA,NA
MB 7092,1853J,SPG240,NONWORKING,20001337372,2021-03-08,YES,TR,NO,108.20366310676658,NA,NA,NA
SPGVA,1854E,SPG110,WORKING,20001175179,2021-03-09,YES,US,NO,121.17678892964238,NA,NA,NA
MB 7092,1872J,SPG240,NONWORKING,20001337361,2021-03-08,YES,TR,NO,98.41848872070817,NA,NA,NA
SPGVA,1944B,SPG240,WORKING,20001175131,2021-03-08,YES,US,NO,100.81427304466987,NA,NA,NA
SPGVA,1944B,SPG240,WORKING,20001175307,2021-03-14,YES,US,YES,100.81427304466987,NA,NA,NA
SPGNC,1961J,SPG240,WORKING,20001148999,2021-03-08,YES,US,NO,100.22296213341556,NA,NA,NA
SPGNC,1961J,SPG240,WORKING,20001149140,2021-03-11,YES,US,NO,100.22296213341556,NA,NA,NA
SPGNC,1G102,SPG240,WORKING,20001149080,2021-03-10,YES,US,NO,93.97016922072137,NA,NA,NA
SPGVA,2004027,SPG240,WORKING,20001175166,2021-03-09,YES,TR,NO,120.37824081076626,CTH-Semen Test,2021-01-25,NA
SPGNC,2004401,SPG110,WORKING,20001149146,2021-03-14,YES,TR,NO,123.89850094832336,Nucleus,2021-02-15,NA
MB 7092,2004483,SPG240,WORKING,20001337656,2021-03-14,YES,US,YES,99.08247641452455,NA,NA,NA
SPGNC,2004505,SPG240,WORKING,20001149108,2021-03-11,YES,TR,NO,102.39777739728899,CTH,2021-02-15,NA
MB 7092,2004647,SPG240,WORKING,20001337543,2021-03-11,YES,US,YES,99.19128172544539,NA,NA,NA
MB 7092,2004652,SPG240,WORKING,20001337619,2021-03-14,YES,US,YES,106.75022902519643,NA,NA,NA
MB 7092,2004668,SPG240,WORKING,20001337505,2021-03-11,YES,US,YES,117.03441632525775,NA,NA,NA
MB 7092,2004670,SPG240,WORKING,20001337623,2021-03-14,YES,US,YES,100.67999594829418,NA,NA,NA
MB 7092,2004735,SPG240,WORKING,20001337339,2021-03-08,YES,US,YES,120.66930458857698,NA,NA,NA
MB 7092,2004741,SPG240,WORKING,20001337409,2021-03-09,YES,US,YES,107.1937820772563,NA,NA,NA
MB 7092,2004769,SPG240,NONWORKING,20001337526,2021-03-11,YES,TR,NO,106.89336636766097,NA,NA,NA
SPGVA,2004770,SPG240,WORKING,20001175163,2021-03-09,YES,TR,NO,128.04694020201077,CTH-Semen Test,2021-03-01,NA
MB 7092,2004771,SPG240,WORKING,20001337340,2021-03-08,YES,TR,NO,115.28427618650524,NA,NA,NA
MB 7092,2004779,SPG240,WORKING,20001337517,2021-03-11,YES,US,YES,110.10455822197056,NA,NA,NA
MB 7092,2004780,SPG240,WORKING,20001337612,2021-03-14,YES,US,YES,107.02444726107005,NA,NA,NA
MB 7092,2004782,SPG240,WORKING,20001337525,2021-03-11,YES,US,YES,107.59297611172849,NA,NA,NA
MB 7092,2004787,SPG240,WORKING,20001337628,2021-03-14,YES,US,YES,100.03656575468034,NA,NA,NA
MB 7092,2004801,SPG240,WORKING,20001337349,2021-03-08,YES,US,YES,101.17525267674453,NA,NA,NA
SPGVA,2004820,SPG240,WORKING,20001175286,2021-03-14,YES,TR,NO,121.79096231989115,Nuc/CTH,2021-03-01,NA
SPGVA,2005284,SPG240,WORKING,20001175165,2021-03-09,YES,TR,NO,120.86765450917511,CTH-Semen Test,2021-03-01,NA
SPGVA,2058C,SPG240,WORKING,20001175305,2021-03-14,YES,TR,NO,101.9304533139377,NA,NA,NA
MB 7092,2069G,SPG240,WORKING,20001337607,2021-03-12,YES,US,YES,102.09975183346599,NA,NA,NA
SPGVA,2124H,SPG240,WORKING,20001175184,2021-03-09,YES,US,NO,92.71848762160674,CTH,2021-03-01,NA
SPGNC,2136G,SPG240,WORKING,20001148998,2021-03-08,YES,US,NO,100.67701873246492,NA,NA,NA
MB 7092,2148G,SPG240,WORKING,20001337415,2021-03-09,YES,US,YES,99.56482882934651,NA,NA,NA
MB 7092,2157J,SPG240,WORKING,20001337348,2021-03-08,YES,US,YES,105.29442506040546,NA,NA,NA
MB 7092,2169J,SPG240,WORKING,20001337529,2021-03-11,YES,TR,NO,110.16479277622408,NA,NA,NA
SPGNC,2176J,SPG240,WORKING,20001149187,2021-03-14,YES,US,YES,110.36023787536858,West Trial,2021-01-25,NA
MB 7092,2177J,SPG240,WORKING,20001337408,2021-03-09,YES,US,YES,106.23903081704059,NA,NA,NA
MB 7092,2178J,SPG240,WORKING,20001337411,2021-03-09,YES,US,YES,113.77242892269794,NA,NA,NA
MB 7092,2202C,SPG240,WORKING,20001337443,2021-03-10,YES,TR,NO,96.31751583069341,NA,NA,NA
MB 7092,2204C,SPG240,WORKING,20001337441,2021-03-10,YES,US,YES,114.19692267870862,NA,NA,NA
SPGNC,2209C,SPG240,WORKING,20001149196,2021-03-14,YES,US,YES,105.34403816562728,NA,NA,NA
MB 7092,2237C,SPG240,WORKING,20001337537,2021-03-11,YES,US,YES,104.84118479442155,NA,NA,NA
MB 7092,2252C,SPG240,WORKING,20001337336,2021-03-08,YES,US,YES,111.27544383225967,NA,NA,NA
MB 7092,2252G,SPG240,WORKING,20001337611,2021-03-14,YES,US,YES,107.73542971903326,NA,NA,NA
MB 7092,2254C,SPG240,WORKING,20001337511,2021-03-11,YES,US,YES,106.81942359935039,NA,NA,NA
MB 7092,2263C,SPG240,WORKING,20001337640,2021-03-14,YES,US,YES,103.04119417401449,NA,NA,NA
SPGNC,2263H,SPG240,WORKING,20001149181,2021-03-14,YES,US,YES,95.08407069940246,CTH,2021-02-15,NA
SPGNC,2269G,SPG240,WORKING,20001149190,2021-03-14,YES,US,YES,122.07865302609707,NA,NA,NA
SPGNC,2269G,SPG240,WORKING,20001148995,2021-03-08,YES,US,NO,122.07865302609707,NA,NA,NA
SPGVA,2270H,SPG240,WORKING,20001175215,2021-03-09,YES,TR,NO,97.70294358561571,CTH,2021-03-01,NA
SPGNC,2299J,SPG110,WORKING,20001149009,2021-03-08,YES,US,NO,122.24081449340383,NA,NA,NA
SPGVA,2304F,SPG120,WORKING,20001175224,2021-03-11,YES,US,YES,117.68320917382874,CTH,2021-02-22,NA
MB 7092,2305C,SPG240,WORKING,20001337581,2021-03-12,YES,US,YES,111.1164401746881,NA,NA,NA
MB 7092,2306G,SPG240,NONWORKING,20001337367,2021-03-08,YES,TR,NO,103.87824150274359,NA,NA,NA
SPGVA,2320H,SPG240,WORKING,20001175167,2021-03-09,YES,TR,NO,116.77891723354571,CTH-Semen Test,2021-03-01,NA
SPGNC,2328G,SPG240,WORKING,20001149199,2021-03-14,YES,US,YES,105.31539336574694,NA,NA,NA
MB 7092,2337C,SPG240,WORKING,20001337639,2021-03-14,YES,US,YES,102.2965252406801,NA,NA,NA
MB 7092,2343C,SPG240,WORKING,20001337629,2021-03-14,YES,US,YES,103.97453939650269,NA,NA,NA
SPGVA,2349H,SPG240,WORKING,20001175169,2021-03-09,YES,TR,NO,122.3368610189665,CTH,2021-03-08,NA
MB 7092,234G4,SPG240,WORKING,20001337659,2021-03-14,YES,TR,NO,101.7338544528318,NA,NA,NA
MB 7092,2350C,SPG240,WORKING,20001337403,2021-03-09,YES,US,YES,114.17626592461369,NA,NA,NA
MB 7092,2354J,SPG240,WORKING,20001337591,2021-03-12,YES,US,YES,114.6631770352584,NA,NA,NA
MB 7092,2358C,SPG240,WORKING,20001337358,2021-03-08,YES,US,YES,102.93002758218796,NA,NA,NA
MB 7092,2358H,SPG240,WORKING,20001337614,2021-03-14,YES,US,YES,114.69581459640396,NA,NA,NA
MB 7092,2369G,SPG240,WORKING,20001337417,2021-03-09,YES,US,YES,96.67940550829285,NA,NA,NA
SPGVA,2370G,SPG240,WORKING,20001175170,2021-03-09,YES,US,NO,95.05015005541009,CTH,2021-02-22,NA
MB 7092,2371G,SPG240,WORKING,20001337519,2021-03-11,YES,US,YES,108.14332275296924,NA,NA,NA
MB 7092,2403H,SPG240,WORKING,20001337534,2021-03-11,YES,US,YES,104.48892531650786,NA,NA,NA
MB 7092,2426G,SPG240,WORKING,20001337498,2021-03-11,YES,US,YES,105.29496655565431,NA,NA,NA
SPGVA,2435E,SPG120,WORKING,20001175274,2021-03-14,YES,US,YES,104.56427773390624,CTH,2020-12-28,NA
SPGNC,2450C,SPG240,WORKING,20001148983,2021-03-08,YES,US,NO,96.35848179122053,NA,NA,NA
MB 7092,2456H,SPG240,WORKING,20001337626,2021-03-14,YES,US,YES,108.18629912580319,NA,NA,NA
MB 7092,2474C,SPG240,WORKING,20001337344,2021-03-08,YES,US,YES,117.13968908707051,NA,NA,NA
MB 7092,2494C,SPG240,WORKING,20001337603,2021-03-12,YES,TR,NO,91.0754086431805,NA,NA,NA
MB 7092,2495C,SPG240,WORKING,20001337660,2021-03-14,YES,TR,NO,97.86247241643163,NA,NA,NA
SPGVA,2502F,SPG240,WORKING,20001175137,2021-03-08,YES,US,NO,99.64995402100061,NA,NA,NA
MB 7092,2520F,SPG240,WORKING,20001337495,2021-03-11,YES,US,YES,109.4843146863757,NA,NA,NA
MB 7092,2522A,SPG240,WORKING,20001337406,2021-03-09,YES,US,YES,102.67982910532241,NA,NA,NA
SPGNC,2596R,SPG120,WORKING,20001149050,2021-03-09,YES,US,NO,100.0122870525756,NA,NA,NA
MB 7092,2606F,SPG240,WORKING,20001337506,2021-03-11,YES,US,YES,108.20767165080876,NA,NA,NA
MB 7092,2607F,SPG240,WORKING,20001337422,2021-03-09,YES,US,NO,91.72988858957892,NA,NA,NA
SPGVA,2610H,SPG120,WORKING,20001175222,2021-03-11,YES,US,YES,117.89505343003184,CTH,2021-02-22,NA
SPGVA,2669F,SPG240,WORKING,20001175156,2021-03-09,YES,US,YES,112.6875986657606,NA,NA,NA
SPGVA,2789F,SPG240,WORKING,20001175259,2021-03-11,YES,US,YES,107.54106868416734,NA,NA,NA
SPGNC,2821G,SPG120,WORKING,20001149051,2021-03-09,YES,US,NO,101.25204756199437,NA,NA,NA
SPGVA,2832H,SPG120,WORKING,20001175193,2021-03-09,YES,US,NO,106.49579164285038,NA,NA,NA
MB 7092,2845F,SPG240,WORKING,20001337448,2021-03-10,YES,US,YES,105.78928065513749,NA,NA,NA
SPGNC,2846F,SPG240,WORKING,20001148981,2021-03-08,YES,US,NO,99.34495143514462,NA,NA,NA
SPGNC,2918F,SPG240,WORKING,20001149123,2021-03-11,YES,US,YES,104.24770762091134,NA,NA,NA
MB 7092,2927F,SPG240,WORKING,20001337488,2021-03-11,YES,US,YES,105.01432918897429,NA,NA,NA
SPGNC,2934F,SPG240,WORKING,20001149121,2021-03-11,YES,US,YES,104.82371928508643,NA,NA,NA
MB 7092,2937F,SPG240,WORKING,20001337400,2021-03-09,YES,US,YES,106.83778829090937,NA,NA,NA
SPGNC,293H7,SPG240,WORKING,20001149034,2021-03-09,YES,TR,NO,109.00502272229838,NA,NA,NA
MB 7092,2986F,SPG240,WORKING,20001337453,2021-03-10,YES,US,YES,109.09571307716182,NA,NA,NA
MB 7092,3032F,SPG240,WORKING,20001337624,2021-03-14,YES,US,YES,104.73522070347141,NA,NA,NA
SPGVA,3049F,SPG240,WORKING,20001175250,2021-03-11,YES,TR,NO,107.90381537062845,NA,NA,NA
SPGVA,3084G,SPG120,WORKING,20001175180,2021-03-09,YES,US,NO,102.6894645943414,NA,NA,NA
SPGVA,3113F,SPG240,WORKING,20001175262,2021-03-11,YES,US,YES,104.92984320625474,NA,NA,NA
SPGNC,3158D,SPG240,WORKING,20001149111,2021-03-11,YES,US,YES,114.88492668794463,West Trial,2021-01-25,NA
MB 7092,3207A,SPG240,WORKING,20001337347,2021-03-08,YES,US,YES,109.52246888870674,NA,NA,NA
MB 7092,338D2,SPG240,WORKING,20001337382,2021-03-09,YES,TR,NO,92.63489835046647,NA,NA,NA
SPGNC,3395G,SPG110,WORKING,20001149054,2021-03-10,YES,US,NO,107.02636640391599,NA,NA,NA
SPGVA,3430F,SPG240,WORKING,20001175260,2021-03-11,YES,TR,NO,105.0826518474573,NA,NA,NA
MB 7092,355D8,SPG240,WORKING,20001337674,2021-03-14,YES,US,NO,91.59144484364981,NA,NA,NA
SPGVA,3600F,SPG240,WORKING,20001175298,2021-03-14,YES,TR,NO,104.26112153464967,NA,NA,NA
SPGVA,3628F,SPG240,WORKING,20001175160,2021-03-09,YES,US,YES,109.81396811040754,NA,NA,NA
SPGNC,3629F,SPG240,WORKING,20001148992,2021-03-08,YES,US,NO,115.57571010574001,West Trial,2021-01-25,NA
SPGNC,3629F,SPG240,WORKING,20001149185,2021-03-14,YES,US,YES,115.57571010574001,West Trial,2021-01-25,NA
SPGVA,3635C,SPG120,WORKING,20001175273,2021-03-14,YES,US,YES,104.38157716579391,CTH,2020-12-28,NA
MB 7092,369G4,SPG240,WORKING,20001337586,2021-03-12,YES,US,YES,102.22411411310203,NA,NA,NA
SPGVA,3745G,SPG120,WORKING,20001175192,2021-03-09,YES,US,NO,107.76315581415487,NA,NA,NA
SPGNC,3795F,SPG240,WORKING,20001149124,2021-03-11,YES,TR,NO,102.02302791752025,NA,NA,NA
MB 7092,379J6,SPG240,WORKING,20001337538,2021-03-11,YES,US,YES,104.3107804135945,NA,NA,NA
SPGVA,3808F,SPG240,WORKING,20001175168,2021-03-09,YES,US,YES,109.08512039621648,NA,NA,NA
SPGVA,3934E,SPG240,WORKING,20001175204,2021-03-09,YES,US,NO,100.76909553214674,NA,NA,NA
SPGVA,3934E,SPG240,WORKING,20001175308,2021-03-14,YES,US,YES,100.76909553214674,NA,NA,NA
SPGNC,3967C,SPG120,WORKING,20001149048,2021-03-09,YES,US,NO,98.37980409512784,NA,NA,NA
MB 7092,3969F,SPG240,WORKING,20001337402,2021-03-09,YES,TR,NO,116.55639338826572,NA,NA,NA
MB 7092,3983F,SPG240,WORKING,20001337518,2021-03-11,YES,US,YES,108.56848036282057,NA,NA,NA
MB 7092,4011B,SPG240,WORKING,20001337421,2021-03-09,YES,US,NO,90.78609407411467,NA,NA,NA
SPGNC,4029G,SPG240,WORKING,20001148994,2021-03-08,YES,US,NO,99.79682817979706,NA,NA,NA
MB 7092,4043B,SPG240,WORKING,20001337449,2021-03-10,YES,TR,NO,111.16102403536611,NA,NA,NA
MB 7092,4069B,SPG240,WORKING,20001337633,2021-03-14,YES,US,YES,105.1343397191998,NA,NA,NA
MB 7092,4075B,SPG240,WORKING,20001337343,2021-03-08,YES,US,YES,108.9554471487438,NA,NA,NA
MB 7092,4090B,SPG240,WORKING,20001337610,2021-03-14,YES,US,YES,103.23240622392358,NA,NA,NA
MB 7092,4112B,SPG240,WORKING,20001337627,2021-03-14,YES,US,YES,105.56507911847142,NA,NA,NA
MB 7092,4114B,SPG240,WORKING,20001337664,2021-03-14,YES,US,YES,101.61354138400877,NA,NA,NA
SPGNC,4116F,SPG240,WORKING,20001149036,2021-03-09,YES,US,YES,108.1062977306879,NA,NA,NA
MB 7092,4173F,SPG240,WORKING,20001337345,2021-03-08,YES,US,YES,121.05327403714801,NA,NA,NA
MB 7092,4176B,SPG240,WORKING,20001337399,2021-03-09,YES,US,YES,109.38878625814742,NA,NA,NA
MB 7092,417H9,SPG240,WORKING,20001337528,2021-03-11,YES,US,YES,103.099476948464,NA,NA,NA
MB 7092,4192B,SPG240,WORKING,20001337416,2021-03-09,YES,US,YES,101.56000788304168,NA,NA,NA
MB 7092,4197B,SPG240,WORKING,20001337622,2021-03-14,YES,US,YES,101.0863179809102,NA,NA,NA
MB 7092,4202B,SPG240,WORKING,20001337593,2021-03-12,YES,US,YES,101.80406151229896,NA,NA,NA
SPGNC,4205B,SPG240,WORKING,20001149122,2021-03-11,YES,US,YES,103.13746012531047,NA,NA,NA
MB 7092,4212B,SPG240,WORKING,20001337442,2021-03-10,YES,US,YES,96.61527641849855,NA,NA,NA
MB 7092,4238B,SPG240,WORKING,20001337645,2021-03-14,YES,US,YES,103.38070314584611,NA,NA,NA
MB 7092,4251B,SPG240,WORKING,20001337371,2021-03-08,YES,US,NO,94.98497291255427,NA,NA,NA
MB 7092,4261G,SPG240,WORKING,20001337651,2021-03-14,YES,US,YES,102.10392926852171,NA,NA,NA
MB 7092,4281F,SPG240,WORKING,20001337597,2021-03-12,YES,US,YES,99.22159480382518,NA,NA,NA
MB 7092,4283F,SPG240,WORKING,20001337527,2021-03-11,YES,US,YES,107.00556315116668,NA,NA,NA
SPGVA,4308G,SPG240,WORKING,20001175303,2021-03-14,YES,US,YES,103.64879154818614,NA,NA,NA
SPGVA,4314E,SPG240,WORKING,20001175304,2021-03-14,YES,US,YES,103.01827141103195,NA,NA,NA
MB 7092,4335F,SPG240,WORKING,20001337413,2021-03-09,YES,US,YES,98.71429627526435,NA,NA,NA
MB 7092,4384F,SPG240,WORKING,20001337601,2021-03-12,YES,US,YES,101.99569103544843,NA,NA,NA
MB 7092,4385F,SPG240,WORKING,20001337396,2021-03-09,YES,US,YES,113.78637126580496,NA,NA,NA
MB 7092,4409F,SPG240,WORKING,20001337509,2021-03-11,YES,US,YES,111.20306248244411,NA,NA,NA
MB 7092,4432G,SPG240,WORKING,20001337620,2021-03-14,YES,TR,NO,104.03912343515238,NA,NA,NA
SPGNC,443H1,SPG120,WORKING,20001149075,2021-03-10,YES,US,NO,108.99185450668152,NA,NA,NA
MB 7092,4478F,SPG240,WORKING,20001337613,2021-03-14,YES,US,YES,116.75197997325552,NA,NA,NA
MB 7092,4479F,SPG240,NONWORKING,20001337360,2021-03-08,YES,TR,NO,111.90078413503119,NA,NA,NA
SPGNC,4516F,SPG240,WORKING,20001149110,2021-03-11,YES,US,YES,116.87105057830593,West Trial,2021-01-25,NA
SPGVA,4520F,SPG240,WORKING,20001175158,2021-03-09,YES,TR,NO,111.49502574480904,NA,NA,NA
SPGNC,4527G,SPG240,WORKING,20001148990,2021-03-08,YES,US,NO,97.81764182202186,NA,NA,NA
MB 7092,454E5,SPG240,WORKING,20001337648,2021-03-14,YES,US,YES,99.4647240921753,NA,NA,NA
MB 7092,4565F,SPG240,WORKING,20001337341,2021-03-08,YES,US,YES,106.53682510522464,NA,NA,NA
MB 7092,4568F,SPG240,WORKING,20001337596,2021-03-12,YES,US,YES,102.88592305053189,NA,NA,NA
MB 7092,4575F,SPG240,WORKING,20001337446,2021-03-10,YES,US,YES,112.30931736255727,NA,NA,NA
SPGNC,4654H,SPG110,WORKING,20001149058,2021-03-10,YES,US,NO,113.8655246832194,NA,NA,NA
SPGVA,4673G,SPG240,WORKING,20001175206,2021-03-09,YES,US,NO,98.66230389437447,NA,NA,NA
MB 7092,4714F,SPG240,WORKING,20001337395,2021-03-09,YES,US,YES,131.96528671681236,NA,NA,NA
SPGNC,4739B,SPG240,WORKING,20001149197,2021-03-14,YES,US,YES,101.74710558371487,NA,NA,NA
SPGVA,4791H,SPG110,WORKING,20001175200,2021-03-09,YES,US,NO,103.06841924617798,NA,NA,NA
SPGNC,4843B,SPG240,WORKING,20001149098,2021-03-11,YES,US,YES,114.2077686659621,CTH,2021-03-08,NA
SPGVA,4844G,SPG110,WORKING,20001175177,2021-03-09,YES,US,NO,118.92836862542164,NA,NA,NA
MB 7092,488E5,SPG240,WORKING,20001337379,2021-03-09,YES,TR,NO,87.29498136066938,NA,NA,NA
SPGNC,4895H,SPG240,WORKING,20001149112,2021-03-11,YES,US,YES,117.51043937781581,West Trial,2021-01-25,NA
SPGVA,4931G,SPG110,WORKING,20001175196,2021-03-09,YES,US,NO,107.32340800897474,NA,NA,NA
SPGVA,5007E,SPG240,WORKING,20001175146,2021-03-09,YES,TR,NO,119.26869327500894,NA,NA,NA
MB 7092,5009F,SPG240,WORKING,20001337508,2021-03-11,YES,US,YES,111.3097056051719,NA,NA,NA
SPGNC,5031B,SPG240,WORKING,20001149081,2021-03-10,YES,US,NO,95.50900437550108,NA,NA,NA
SPGVA,5038F,SPG240,WORKING,20001175128,2021-03-08,YES,US,NO,97.379992058676,CTH,2021-01-25,NA
SPGVA,5049F,SPG240,WORKING,20001175297,2021-03-14,YES,US,YES,104.48635562123458,NA,NA,NA
SPGNC,5052H,SPG240,WORKING,20001149139,2021-03-11,YES,US,NO,118.1683387885009,NA,NA,NA
SPGNC,5052H,SPG240,WORKING,20001149029,2021-03-09,YES,US,YES,118.1683387885009,NA,NA,NA
SPGNC,5080E,SPG240,WORKING,20001149083,2021-03-10,YES,US,NO,96.12194230689023,NA,NA,NA
MB 7092,510D9,SPG240,WORKING,20001337351,2021-03-08,YES,US,YES,119.14127334261988,NA,NA,NA
MB 7092,5142B,SPG240,WORKING,20001337667,2021-03-14,YES,US,YES,99.01376609806903,NA,NA,NA
SPGNC,5184B,SPG240,WORKING,20001148979,2021-03-08,YES,US,NO,96.25381042102752,NA,NA,NA
MB 7092,5187H,SPG240,WORKING,20001337595,2021-03-12,YES,US,YES,103.39017535144308,NA,NA,NA
SPGNC,5188H,SPG240,WORKING,20001149116,2021-03-11,YES,US,YES,116.28622725414802,West Trial,2021-01-25,NA
SPGVA,5214G,SPG110,WORKING,20001175189,2021-03-09,YES,US,NO,108.34103493900311,NA,NA,NA
MB 7092,5217B,SPG240,WORKING,20001337536,2021-03-11,YES,US,YES,104.72995215134034,NA,NA,NA
SPGNC,5219H,SPG110,WORKING,20001149059,2021-03-10,YES,US,NO,106.10680812074231,NA,NA,NA
MB 7092,523J6,SPG240,WORKING,20001337497,2021-03-11,YES,US,YES,113.85898793952627,NA,NA,NA
MB 7092,5264H,SPG240,WORKING,20001337539,2021-03-11,YES,US,YES,104.04560294034317,NA,NA,NA
