StudName,yearweek,Minimum Concentration,Average Concentration,Minimum Morphology,Samples,Positive Samples,Bacteria %,Conc_Diff,CScore,MScore,AScore,BScore,Total,Boar Stud
7362,202216,13.15977515,44.279186826363635,70.9,11,0,0,0.27918682636363457,0,3,2,1,6,SPG Farm 62
7362,202217,32.19363679,61.56406923125,58.4,8,0,0,17.564069231250002,0,0,0,1,1,SPG Farm 62
7362,202218,9.3347886,68.44562984625,77,8,0,0,24.44562984625,0,3,0,1,4,SPG Farm 62
7362,202219,41.84717427,65.60155503333333,73.3,6,0,0,21.601555033333327,4,3,0,1,8,SPG Farm 62
7362,202220,37.2480833,43.50163274,53.5,6,0,0,0.498367260000002,1,0,2,1,4,SPG Farm 62
7362,202221,31.64721014,39.707003226666664,72.7,6,0,0,4.292996773333336,0,3,1,1,5,SPG Farm 62
7362,202222,15.61869508,49.304886143333334,68,9,0,0,5.304886143333334,0,2,1,1,4,SPG Farm 62
7362,202223,34.88023449,52.05283035,68.1,8,0,0,8.05283035,0,2,0,1,3,SPG Farm 62
7362,202225,44.79892266,55.62169904,55.3,7,0,0,11.621699040000003,4,0,0,1,5,SPG Farm 62
7362,202226,42.35960959,70.14030277571429,77,7,0,0,26.14030277571429,4,3,0,1,8,SPG Farm 62
7362,202227,37.05879466,50.15334886857143,65.7,7,0,0,6.1533488685714275,1,2,0,1,4,SPG Farm 62
7362,202228,36.96497493,46.4290405275,61.4,8,0,0,2.4290405274999998,0,1,2,1,4,SPG Farm 62
7362,202229,36.3082368,42.576567726250005,78.9,8,0,0,1.4234322737499951,0,3,2,1,6,SPG Farm 62
7362,202230,32.83690666,40.191331312222225,67.6,9,0,0,3.808668687777775,0,2,1,1,4,SPG Farm 62
7362,202231,39.54501759,43.43853652625,67.9,8,0,0,0.5614634737500026,3,2,2,1,8,SPG Farm 62
7362,202232,34.66936949,42.20001122,16.9,6,0,0,1.7999887799999996,0,0,2,1,3,SPG Farm 62
7362,202233,47.83615189,67.562644229,65.8,10,0,0,23.562644229,4,2,0,1,7,SPG Farm 62
7362,202234,43.0525367,66.44285877714286,52.6,7,0,0,22.44285877714286,4,0,0,1,5,SPG Farm 62
7362,202235,20.35888213,67.2017347,75,7,0,0,23.201734700000003,0,3,0,1,4,SPG Farm 62
7362,202236,19.46759466,58.40278399285714,73.6,7,0,0,14.402783992857138,0,3,0,1,4,SPG Farm 62
7362,202237,27.62991146,55.950068107142855,81.2,7,0,0,11.950068107142855,0,3,0,1,4,SPG Farm 62
7362,202238,33.96274346,50.41470384,77.7,7,0,0,6.414703840000001,0,3,0,1,4,SPG Farm 62
7362,202239,43.81381546,69.05914203166667,70,6,0,0,25.059142031666667,4,3,0,1,8,SPG Farm 62
7362,202240,30.16304426,68.47667786375,57.5,8,1,12.5,24.476677863749998,0,0,0,0,0,SPG Farm 62
7362,202241,38.27845119,46.99028357428571,67.3,7,0,0,2.990283574285712,2,2,2,1,7,SPG Farm 62
7362,202242,39.73265706,50.95975181666667,28.4,9,0,0,6.959751816666667,3,0,0,1,4,SPG Farm 62
7362,202243,39.16973866,46.98804977222222,23.7,9,0,0,2.988049772222219,3,0,2,1,6,SPG Farm 62
