Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
GCM7-4,SPG240,124.9348037,124.9566495,0.021845817,5/6/2019
High Desert,SPG110,224.6183356,224.6183356,0,5/6/2019
High Desert,SPG120,234.3145111,234.4909752,0.17646411,5/6/2019
High Desert,SPG240,125.2344654,125.4577155,0.223250113,5/6/2019
Ingold,SPG240,124.4174606,124.5987273,0.181266737,5/6/2019
MB 7081,SPG120,238.0354622,238.8536992,0.818237011,5/6/2019
MB 7081,SPG240,124.1983196,124.3737204,0.17540079,5/6/2019
MB 7082,SPG120,237.4021702,237.5405346,0.138364403,5/6/2019
MB 7082,SPG240,124.1073232,124.3335878,0.226264618,5/6/2019
MB 7092,SPG240,123.7240551,123.7500257,0.025970603,5/6/2019
MB 7093,SPG240,123.5654316,123.5779115,0.012479873,5/6/2019
MB 7094,SPG240,124.9031411,125.0106896,0.107548441,5/6/2019
MBW Cimarron,SPG110,235.3605714,235.3605714,0,5/6/2019
MBW Cimarron,SPG120,238.3630346,238.3630346,0,5/6/2019
MBW Cimarron,SPG240,124.4178527,124.5344785,0.116625757,5/6/2019
MBW Cyclone,SPG120,239.350201,239.350201,0,5/6/2019
MBW Cyclone,SPG240,124.2830241,124.3916144,0.108590258,5/6/2019
MBW Illinois,SPG110,231.8946263,231.8946263,0,5/6/2019
MBW Illinois,SPG120,234.264528,234.4275281,0.163000097,5/6/2019
MBW Yuma,SPG110,231.2228376,233.11607,1.893232385,5/6/2019
MBW Yuma,SPG120,235.9551034,235.9551034,0,5/6/2019
MBW Yuma,SPG240,124.272775,124.3626194,0.08984444,5/6/2019
Norson,SPG240,123.1069648,123.4513096,0.34434477,5/6/2019
Prestage MS,SPG110,226.34581,227.0098545,0.664044473,5/6/2019
Prestage MS,SPG120,234.0788546,234.520115,0.441260391,5/6/2019
Prestage MS,SPG240,124.1075516,124.1429609,0.035409279,5/6/2019
Princeton,SPG110,229.6472033,231.2736185,1.626415212,5/6/2019
Princeton,SPG120,237.8855466,237.8855466,0,5/6/2019
Princeton,SPG240,124.3109431,124.4749123,0.163969256,5/6/2019
Skyline Boar Stud,SPG110,225.9190922,228.1391,2.220007786,5/6/2019
Skyline Boar Stud,SPG120,233.2878669,234.4782116,1.190344723,5/6/2019
Skyline Boar Stud,SPG240,123.6635163,123.7258965,0.062380205,5/6/2019
SPGNC,SPG110,235.9432257,237.0943697,1.151143957,5/6/2019
SPGNC,SPG120,244.5031038,245.9457765,1.442672636,5/6/2019
SPGNC,SPG240,126.7682794,127.1366607,0.368381225,5/6/2019
SPGVA,SPG110,235.7119508,236.959841,1.247890218,5/6/2019
SPGVA,SPG120,241.7135152,243.1059424,1.392427247,5/6/2019
SPGVA,SPG240,126.5351066,127.0141153,0.479008704,5/6/2019
Clinton,SPG120,237.7231503,237.7231503,0,5/6/2019
Clinton,SPG240,123.7061824,123.9521754,0.245993009,5/6/2019
GCM7-4,SPG110,235.5738478,235.5738478,0,5/6/2019
GCM7-4,SPG120,239.2173967,239.2557875,0.038390848,5/6/2019
GCM7-4,SPG240,124.9348037,124.9566495,0.021845817,5/6/2019
High Desert,SPG110,224.6183356,224.6183356,0,5/6/2019
High Desert,SPG120,234.3145111,234.4909752,0.17646411,5/6/2019
High Desert,SPG240,125.2344654,125.4577155,0.223250113,5/6/2019
Ingold,SPG240,124.4174606,124.5987273,0.181266737,5/6/2019
MB 7081,SPG120,238.0354622,238.8536992,0.818237011,5/6/2019
MB 7081,SPG240,124.1983196,124.3737204,0.17540079,5/6/2019
MB 7082,SPG120,237.4021702,237.5405346,0.138364403,5/6/2019
MB 7082,SPG240,124.1073232,124.3335878,0.226264618,5/6/2019
MB 7092,SPG240,123.7240551,123.7500257,0.025970603,5/6/2019
MB 7093,SPG240,123.5654316,123.5779115,0.012479873,5/6/2019
MB 7094,SPG240,124.9031411,125.0106896,0.107548441,5/6/2019
MBW Cimarron,SPG110,235.3605714,235.3605714,0,5/6/2019
MBW Cimarron,SPG120,238.3630346,238.3630346,0,5/6/2019
MBW Cimarron,SPG240,124.4178527,124.5344785,0.116625757,5/6/2019
MBW Cyclone,SPG120,239.350201,239.350201,0,5/6/2019
MBW Cyclone,SPG240,124.2830241,124.3916144,0.108590258,5/6/2019
MBW Illinois,SPG110,231.8946263,231.8946263,0,5/6/2019
MBW Illinois,SPG120,234.264528,234.4275281,0.163000097,5/6/2019
MBW Yuma,SPG110,231.2228376,233.11607,1.893232385,5/6/2019
MBW Yuma,SPG120,235.9551034,235.9551034,0,5/6/2019
MBW Yuma,SPG240,124.272775,124.3626194,0.08984444,5/6/2019
Norson,SPG240,123.1069648,123.4513096,0.34434477,5/6/2019
