Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
SPGVA,3084G,SPG120,WORKING,20001174814,2021-02-23,YES,US,NO,103.54112903704497
SPGVA,9265G,SPG120,WORKING,20001174906,2021-02-28,YES,US,YES,103.3811737734104
SPGVA,9416D,SPG120,WORKING,20001174782,2021-02-22,YES,US,NO,99.83968200392101
SPGVA,8516G,SPG120,WORKING,20001174781,2021-02-22,YES,US,NO,98.55660261209384
SPGVA,8516G,SPG120,WORKING,20001174907,2021-02-28,YES,US,YES,98.55660261209384
SPGVA,7817H,SPG120,WORKING,20001174812,2021-02-23,YES,US,NO,81.5966821238627
SPGVA,8259G,SPG240,WORKING,20001174795,2021-02-23,YES,US,YES,126.27574393259717
SPGVA,1305H,SPG240,WORKING,20001174939,2021-02-28,YES,US,YES,124.37971409846672
SPGVA,1305H,SPG240,WORKING,20001174916,2021-02-28,YES,US,YES,124.37971409846672
SPGVA,1207J,SPG240,WORKING,20001174909,2021-02-28,YES,TR,NO,123.88230141997704
SPGVA,2004027,SPG240,WORKING,20001174828,2021-02-23,YES,TR,NO,120.6037815076982
SPGVA,5007E,SPG240,WORKING,20001174797,2021-02-23,YES,US,YES,119.31617621223195
SPGVA,9811J,SPG240,WORKING,20001174823,2021-02-23,YES,TR,NO,115.5350819927174
SPGVA,1389G,SPG240,WORKING,20001174801,2021-02-23,YES,US,YES,115.26234638421198
SPGVA,9187F,SPG240,WORKING,20001174883,2021-02-25,YES,US,YES,112.92123254494528
SPGVA,4520F,SPG240,WORKING,20001174805,2021-02-23,YES,US,YES,111.48552982003262
SPGVA,7638G,SPG240,WORKING,20001174806,2021-02-23,YES,US,YES,111.06462589367742
SPGVA,3628F,SPG240,WORKING,20001174807,2021-02-23,YES,US,YES,110.3362550977161
SPGVA,8195G,SPG240,WORKING,20001174921,2021-02-28,YES,US,YES,110.28847264827394
SPGVA,6650F,SPG240,WORKING,20001174808,2021-02-23,YES,US,YES,110.17896331558445
SPGVA,3808F,SPG240,WORKING,20001174884,2021-02-25,YES,US,YES,109.93388614480244
SPGVA,5850F,SPG240,WORKING,20001174885,2021-02-25,YES,US,YES,109.85813070825245
SPGVA,9974F,SPG240,WORKING,20001174886,2021-02-25,YES,US,YES,108.89417413946022
SPGVA,3049F,SPG240,WORKING,20001174887,2021-02-25,YES,US,YES,108.46833509885633
SPGVA,2789F,SPG240,WORKING,20001174889,2021-02-25,YES,US,YES,108.11290359454242
SPGVA,1168G,SPG240,WORKING,20001174888,2021-02-25,YES,US,YES,107.9573756193941
SPGVA,8356C,SPG240,WORKING,20001174890,2021-02-25,YES,US,YES,107.91944647563442
SPGVA,5627F,SPG240,WORKING,20001174891,2021-02-25,YES,TR,NO,107.4189813627836
SPGVA,5743F,SPG240,WORKING,20001174892,2021-02-25,YES,US,YES,106.4454968033184
SPGVA,5390E,SPG240,WORKING,20001174923,2021-02-28,YES,US,YES,106.36929611374373
SPGVA,6878E,SPG240,WORKING,20001174924,2021-02-28,YES,US,YES,106.1517176327774
SPGVA,3430F,SPG240,WORKING,20001174925,2021-02-28,YES,US,YES,105.78556901933331
SPGVA,3113F,SPG240,WORKING,20001174932,2021-02-28,YES,TR,NO,105.06486944242675
SPGVA,3373F,SPG240,WORKING,20001174926,2021-02-28,YES,TR,NO,104.94450548293912
SPGVA,5049F,SPG240,WORKING,20001174928,2021-02-28,YES,US,YES,104.9009344332588
SPGVA,3600F,SPG240,WORKING,20001174930,2021-02-28,YES,US,YES,104.82668825325693
SPGVA,1272G,SPG240,WORKING,20001174933,2021-02-28,YES,US,YES,104.59040457320026
SPGVA,1669J,SPG240,WORKING,20001174878,2021-02-25,YES,US,YES,104.32796934440766
SPGVA,1669J,SPG240,WORKING,20001174893,2021-02-25,YES,US,YES,104.32796934440766
SPGVA,1266C,SPG240,WORKING,20001174934,2021-02-28,YES,US,YES,103.945556312903
SPGVA,4308G,SPG240,WORKING,20001174936,2021-02-28,YES,TR,NO,103.27078009403893
SPGVA,6984F,SPG240,WORKING,20001174938,2021-02-28,YES,US,NO,103.21530536707118
SPGVA,2502F,SPG240,WORKING,20001174770,2021-02-22,YES,US,NO,101.85534762118542
SPGVA,2605F,SPG240,WORKING,20001174773,2021-02-22,YES,US,NO,100.94542307862106
SPGVA,9255F,SPG240,WORKING,20001174880,2021-02-25,YES,US,YES,100.9052025006121
SPGVA,9255F,SPG240,WORKING,20001174769,2021-02-22,YES,US,NO,100.9052025006121
SPGVA,6190G,SPG240,WORKING,20001174766,2021-02-22,YES,US,NO,100.82184301494968
SPGVA,6190G,SPG240,WORKING,20001174882,2021-02-25,YES,US,YES,100.82184301494968
SPGVA,5643F,SPG240,WORKING,20001174778,2021-02-22,YES,US,NO,100.62344342062285
SPGVA,3934E,SPG240,WORKING,20001174774,2021-02-22,YES,US,NO,100.61422559294992
SPGVA,1944B,SPG240,WORKING,20001174776,2021-02-22,YES,US,NO,100.46142192656347
SPGVA,1014G,SPG240,WORKING,20001174779,2021-02-22,YES,US,NO,99.88421416727844
SPGVA,4673G,SPG240,WORKING,20001174775,2021-02-22,YES,US,NO,99.50948826398968
SPGVA,5038F,SPG240,WORKING,20001174772,2021-02-22,YES,US,NO,98.69820428094748
SPGVA,6333C,SPG240,WORKING,20001174843,2021-02-23,YES,US,NO,98.34999817640185
SPGVA,1137G,SPG240,WORKING,20001174777,2021-02-22,YES,US,NO,98.06097527825527
SPGVA,5065H,SPG240,WORKING,20001174771,2021-02-22,YES,US,NO,97.12876237521678
SPGVA,2370G,SPG240,WORKING,20001174839,2021-02-23,YES,US,NO,96.59406328703655
SPGVA,9613F,SPG240,WORKING,20001174844,2021-02-23,YES,US,NO,94.8778179622131
SPGVA,6028C,SPG240,WORKING,20001174845,2021-02-23,YES,US,NO,93.48419615976859
SPGVA,5691G,SPG240,WORKING,20001174783,2021-02-22,YES,US,NO,91.81972698423097
SPGVA,5800G,SPG240,WORKING,20001174840,2021-02-23,YES,TR,NO,90.95396998419258
SPGVA,1262H,SPG240,WORKING,20001174821,2021-02-23,YES,US,NO,88.51010701715714
SPGVA,5803G,SPG240,WORKING,20001174841,2021-02-23,YES,US,NO,85.78470341751975
SPGVA,5798F,SPG240,WORKING,20001174842,2021-02-23,YES,US,NO,84.67822819512311
SPGVA,9403J,SPG240,WORKING,20001174862,2021-02-25,YES,TR,NO,82.88759152454054
SPGVA,6366G,SPG240,WORKING,20001174784,2021-02-22,YES,US,NO,75.42491932252459
