Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Target.x,Included.x,Needed,Actual
MB 7092,5325B,SPG240,WORKING,2021-03-14,YES,US,YES,100.83478734434159,NA,YES,184,1
SPGVA,1944B,SPG240,WORKING,2021-03-08,YES,US,NO,100.81427304466987,NA,NO,43,NA
SPGVA,1944B,SPG240,WORKING,2021-03-14,YES,US,YES,100.81427304466987,NA,YES,43,1
SPGVA,3934E,SPG240,WORKING,2021-03-09,YES,US,NO,100.76909553214674,NA,NO,43,NA
SPGVA,3934E,SPG240,WORKING,2021-03-14,YES,US,YES,100.76909553214674,NA,YES,43,1
SPGNC,6875F,SPG240,WORKING,2021-03-08,YES,US,NO,100.74207184955252,NA,YES,44,NA
MB 7092,2004670,SPG240,WORKING,2021-03-14,YES,US,YES,100.67999594829418,NA,YES,184,1
SPGNC,2136G,SPG240,WORKING,2021-03-08,YES,US,NO,100.67701873246492,NA,YES,44,NA
MB 7092,1044J,SPG240,WORKING,2021-03-12,YES,US,YES,100.60815689796634,NA,YES,184,1
MB 7092,791H9,SPG240,WORKING,2021-03-11,YES,US,YES,100.58266491179685,NA,YES,184,1
MB 7092,6080G,SPG240,WORKING,2021-03-14,YES,US,YES,100.52624186433395,NA,YES,184,1
MB 7092,1110J,SPG240,WORKING,2021-03-14,YES,US,YES,100.4593163541888,NA,YES,184,1
SPGNC,9911F,SPG240,WORKING,2021-03-08,YES,US,NO,100.39015865982668,NA,YES,44,NA
SPGVA,1014G,SPG240,WORKING,2021-03-08,YES,US,NO,100.37763663094789,CTH,NO,43,NA
SPGVA,1014G,SPG240,WORKING,2021-03-14,YES,US,YES,100.37763663094789,CTH,YES,43,1
MB 7092,677H9,SPG240,WORKING,2021-03-11,YES,US,YES,100.2853585370901,NA,YES,184,1
SPGNC,9609A,SPG240,WORKING,2021-03-08,YES,US,NO,100.2492343283823,NA,YES,44,NA
SPGNC,1961J,SPG240,WORKING,2021-03-08,YES,US,NO,100.22296213341556,NA,NO,44,NA
SPGNC,1961J,SPG240,WORKING,2021-03-11,YES,US,NO,100.22296213341556,NA,YES,44,NA
MB 7092,5439B,SPG240,WORKING,2021-03-11,YES,US,YES,100.174201941336,NA,YES,184,1
MB 7092,590J6,SPG240,NONWORKING,2021-03-08,YES,TR,NO,100.16225932405895,NA,NO,184,NA
MB 7092,545G7,SPG240,WORKING,2021-03-14,YES,US,YES,100.03701225238143,NA,YES,184,1
MB 7092,2004787,SPG240,WORKING,2021-03-14,YES,US,YES,100.03656575468034,NA,YES,184,1
MB 7092,8422C,SPG240,NONWORKING,2021-03-08,YES,TR,NO,100.02813718969595,NA,NO,184,NA
MB 7092,8796A,SPG240,WORKING,2021-03-12,YES,US,YES,100.00043117127858,NA,YES,184,1
SPGVA,5643F,SPG240,WORKING,2021-03-08,YES,TR,NO,99.98928535087359,NA,YES,43,0
MB 7092,5288H,SPG240,WORKING,2021-03-11,YES,US,YES,99.97949911352775,NA,YES,184,1
MB 7092,5512F,SPG240,WORKING,2021-03-14,YES,US,YES,99.88923310038165,NA,YES,184,1
MB 7092,6469F,SPG240,WORKING,2021-03-14,YES,US,YES,99.83414845298265,NA,YES,184,1
MB 7092,1617J,SPG240,WORKING,2021-03-08,YES,US,YES,99.80982146345858,NA,YES,184,1
SPGNC,4029G,SPG240,WORKING,2021-03-08,YES,US,NO,99.79682817979706,NA,YES,44,NA
SPGVA,2502F,SPG240,WORKING,2021-03-08,YES,US,NO,99.64995402100061,NA,YES,43,NA
MB 7092,1117C,SPG240,WORKING,2021-03-14,YES,US,YES,99.6394363525472,NA,YES,184,1
MB 7092,2148G,SPG240,WORKING,2021-03-09,YES,US,YES,99.56482882934651,NA,YES,184,1
MB 7092,454E5,SPG240,WORKING,2021-03-14,YES,US,YES,99.4647240921753,NA,YES,184,1
SPGNC,5668F,SPG240,WORKING,2021-03-08,YES,US,NO,99.44617397013343,NA,YES,44,NA
MB 7092,1672J,SPG240,WORKING,2021-03-14,YES,US,YES,99.42306765584276,NA,YES,184,1
SPGNC,2846F,SPG240,WORKING,2021-03-08,YES,US,NO,99.34495143514462,NA,YES,44,NA
MB 7092,6796E,SPG240,WORKING,2021-03-14,YES,US,YES,99.33555625224436,NA,YES,184,1
SPGVA,1137G,SPG240,WORKING,2021-03-08,YES,US,NO,99.33253168909458,CTH,YES,43,NA
MB 7092,8789A,SPG240,WORKING,2021-03-14,YES,US,YES,99.29950490976753,NA,YES,184,1
MB 7092,4281F,SPG240,WORKING,2021-03-12,YES,US,YES,99.22159480382518,NA,YES,184,1
MB 7092,2004647,SPG240,WORKING,2021-03-11,YES,US,YES,99.19128172544539,NA,YES,184,1
MB 7092,2004483,SPG240,WORKING,2021-03-14,YES,US,YES,99.08247641452455,NA,YES,184,1
MB 7092,8627A,SPG240,NONWORKING,2021-03-11,YES,TR,NO,99.0316452601916,NA,NO,184,NA
MB 7092,5142B,SPG240,WORKING,2021-03-14,YES,US,YES,99.01376609806903,NA,YES,184,1
MB 7092,5807G,SPG240,WORKING,2021-03-14,YES,US,YES,98.96499178256917,NA,YES,184,1
MB 7092,775K1,SPG240,WORKING,2021-03-14,YES,US,YES,98.87707029839588,NA,YES,184,1
MB 7092,1130C,SPG240,WORKING,2021-03-11,YES,US,YES,98.8308752975156,NA,YES,184,1
MB 7092,4335F,SPG240,WORKING,2021-03-09,YES,US,YES,98.71429627526435,NA,YES,184,1
SPGVA,4673G,SPG240,WORKING,2021-03-09,YES,US,NO,98.66230389437447,NA,YES,43,NA
SPGNC,8269C,SPG240,WORKING,2021-03-10,YES,US,NO,98.65731819643635,NA,YES,44,NA
MB 7092,7J504,SPG240,WORKING,2021-03-11,YES,TR,NO,98.6482382016269,NA,YES,184,1
MB 7092,586H5,SPG240,WORKING,2021-03-14,YES,US,YES,98.56338857960853,NA,YES,184,1
SPGVA,6400G,SPG240,WORKING,2021-03-09,YES,US,NO,98.53039785948589,NA,YES,43,NA
SPGNC,7131C,SPG240,WORKING,2021-03-10,YES,US,NO,98.44248885884987,NA,YES,44,NA
MB 7092,6986E,SPG240,WORKING,2021-03-09,YES,US,YES,98.43561665997724,NA,YES,184,1
SPGNC,5472H,SPG240,WORKING,2021-03-08,YES,US,NO,98.42059874961002,NA,NO,44,NA
SPGNC,5472H,SPG240,WORKING,2021-03-11,YES,US,NO,98.42059874961002,NA,YES,44,NA
MB 7092,1872J,SPG240,NONWORKING,2021-03-08,YES,TR,NO,98.41848872070817,NA,NO,184,NA
MB 7092,6835E,SPG240,WORKING,2021-03-14,YES,US,YES,98.11998727408574,NA,YES,184,1
MB 7092,2495C,SPG240,WORKING,2021-03-14,YES,TR,NO,97.86247241643163,NA,YES,184,1
SPGNC,4527G,SPG240,WORKING,2021-03-08,YES,US,NO,97.81764182202186,NA,YES,44,NA
SPGNC,6096F,SPG240,WORKING,2021-03-08,YES,US,NO,97.747322731446,NA,YES,44,NA
SPGVA,2270H,SPG240,WORKING,2021-03-09,YES,TR,NO,97.70294358561571,CTH,YES,43,0
SPGNC,5774E,SPG240,WORKING,2021-03-08,YES,US,NO,97.5261464470578,NA,YES,44,NA
SPGNC,6933F,SPG240,WORKING,2021-03-10,YES,US,NO,97.44585473270631,NA,YES,44,NA
SPGVA,5038F,SPG240,WORKING,2021-03-08,YES,US,NO,97.379992058676,CTH,YES,43,NA
MB 7092,5581E,SPG240,WORKING,2021-03-11,YES,US,YES,97.25752112712729,NA,YES,184,1
MB 7092,6810E,SPG240,WORKING,2021-03-10,YES,TR,NO,96.94727832054755,NA,YES,184,1
MB 7092,5425B,SPG240,WORKING,2021-03-11,YES,US,YES,96.79838005692444,NA,YES,184,1
MB 7092,2369G,SPG240,WORKING,2021-03-09,YES,US,YES,96.67940550829285,NA,YES,184,1
MB 7092,4212B,SPG240,WORKING,2021-03-10,YES,US,YES,96.61527641849855,NA,YES,184,1
MB 7092,843H5,SPG240,WORKING,2021-03-14,YES,US,NO,96.46559530473472,NA,YES,184,NA
MB 7092,6081G,SPG240,WORKING,2021-03-09,YES,TR,NO,96.44330992562483,NA,YES,184,1
MB 7092,6369E,SPG240,WORKING,2021-03-08,YES,US,YES,96.4311330744682,NA,YES,184,1
SPGNC,2450C,SPG240,WORKING,2021-03-08,YES,US,NO,96.35848179122053,NA,YES,44,NA
MB 7092,7157C,SPG240,WORKING,2021-03-11,YES,US,YES,96.35142130334843,NA,YES,184,1
MB 7092,2202C,SPG240,WORKING,2021-03-10,YES,TR,NO,96.31751583069341,NA,YES,184,1
SPGNC,5184B,SPG240,WORKING,2021-03-08,YES,US,NO,96.25381042102752,NA,YES,44,NA
SPGNC,7002C,SPG240,WORKING,2021-03-10,YES,US,NO,96.22643366420252,NA,YES,44,NA
SPGNC,5080E,SPG240,WORKING,2021-03-10,YES,US,NO,96.12194230689023,NA,YES,44,NA
SPGNC,5494H,SPG240,WORKING,2021-03-11,YES,US,NO,95.94681710409864,NA,YES,44,NA
SPGNC,5494H,SPG240,WORKING,2021-03-08,YES,US,NO,95.94681710409864,NA,NO,44,NA
