Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Included.x,Needed,Actual
MBW Cyclone,10182,DNA400,WORKING,2024-04-25,YES,US,YES,89,YES,37,1
MBW Cyclone,10168,DNA400,WORKING,2024-04-26,YES,US,YES,87,YES,37,1
MBW Cyclone,10179,DNA400,WORKING,2024-04-26,YES,US,NO,87,YES,37,NA
Skyline Boar Stud,28016,DNA400,WORKING,2024-04-25,YES,US,YES,87,YES,10,1
Skyline Boar Stud,28017,DNA400,WORKING,2024-04-25,YES,US,YES,87,YES,10,1
Skyline Boar Stud,28022,DNA400,WORKING,2024-04-25,YES,US,YES,86,YES,10,1
Skyline Boar Stud,28025,DNA400,WORKING,2024-04-25,YES,US,YES,86,YES,10,1
Skyline Boar Stud,28001,DNA400,WORKING,2024-04-26,YES,TR,NO,84,YES,10,1
Skyline Boar Stud,28021,DNA400,WORKING,2024-04-25,YES,US,YES,84,YES,10,1
MBW Cyclone,10177,DNA400,NONWORKING,2024-04-26,YES,TR,NO,83,NO,37,NA
Skyline Boar Stud,28020,DNA400,WORKING,2024-04-26,YES,US,NO,83,YES,10,NA
Skyline Boar Stud,28019,DNA400,WORKING,2024-04-26,YES,US,NO,77,YES,10,NA
Skyline Boar Stud,28003,DNA400,WORKING,2024-04-26,YES,US,NO,74,YES,10,NA
Skyline Boar Stud,28015,DNA400,WORKING,2024-04-26,YES,US,NO,69,YES,10,NA
Skyline Boar Stud,28008,DNA400,WORKING,2024-04-26,YES,US,NO,65,YES,10,NA
MB 7081,64293,PICL02,WORKING,2024-04-22,YES,US,YES,163,YES,45,1
SPGVA,58351,PICL02,WORKING,2024-04-22,YES,US,YES,158,YES,63,1
SPGVA,58512,PICL02,WORKING,2024-04-22,YES,US,YES,158,YES,63,1
MB 7082,64439,PICL02,WORKING,2024-04-22,YES,US,YES,156,YES,39,1
SPGVA,58478,PICL02,WORKING,2024-04-22,YES,US,YES,154,YES,63,1
MB 7081,64461,PICL02,WORKING,2024-04-22,YES,US,YES,154,YES,45,1
MB 7082,70461,PICL02,WORKING,2024-04-22,YES,US,YES,154,YES,39,1
SPGVA,58337,PICL02,WORKING,2024-04-22,YES,US,YES,152,YES,63,1
MB 7082,70415,PICL02,WORKING,2024-04-22,YES,US,YES,152,YES,39,1
SPGVA,58520,PICL02,WORKING,2024-04-22,YES,US,YES,151,YES,63,1
SPGVA,58501,PICL02,WORKING,2024-04-22,YES,US,YES,150,YES,63,1
SPGVA,58511,PICL02,WORKING,2024-04-22,YES,US,YES,150,YES,63,1
MB 7081,64396,PICL02,WORKING,2024-04-22,YES,US,YES,150,YES,45,1
SPGVA,58354,PICL02,WORKING,2024-04-22,YES,US,YES,149,YES,63,1
MB 7081,64402,PICL02,WORKING,2024-04-22,YES,TR,NO,149,YES,45,1
MB 7081,64454,PICL02,WORKING,2024-04-22,YES,US,YES,149,YES,45,1
MB 7082,70473,PICL02,WORKING,2024-04-22,YES,US,YES,149,YES,39,1
SPGVA,58497,PICL02,WORKING,2024-04-26,YES,US,YES,148,YES,63,1
