Boar Stud,Inventory,Target,Working Boars,Non-Working Boars
Clinton,200,0,200,0
GCM23-4,215,0,215,0
High Desert,218,150,213,5
Ingold,156,0,156,0
MB 7081,207,200,204,3
MB 7082,187,200,181,6
MB 7092,373,450,363,10
MB 7093,439,450,438,1
MB 7094,373,450,368,5
MBW Cimarron,191,200,191,0
MBW Cyclone,258,200,258,0
MBW Yuma,168,145,168,0
Norson,230,200,229,0
Prestage MS,195,0,172,23
Princeton,278,435,278,0
Skyline Boar Stud,211,250,201,10
SPGNC,196,220,196,0
SPGTX,55,150,54,1
SPGVA,189,292,188,1
