Boar Stud,BoarID,Breed,1,2,3,4,5,6,7,8,9,10,Last Collection Date,Reason_Studout
High Desert,1872G,SPG240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z90612,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z91042,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z91598,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prestage MS,EX_70,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prestage MS,EX_90,OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skyline Boar Stud,1003H,SPG240,US,US,US,US,US,US,US,US,US,TR,2024-04-26,NA
Skyline Boar Stud,1028H,SPG240,US,US,US,US,US,US,US,US,US,TR,2024-04-26,NA
Skyline Boar Stud,2000190,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2014419,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2014420,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2021138,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2021335,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2031699,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2031907,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2031958,SPG240,US,US,US,US,US,US,US,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2032088,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085140,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085188,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085197,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085198,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
Skyline Boar Stud,2085226,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-04-26,NA
