Employee Home Business Unit,Employee Home Business Unit Desc.,Employee Number,Employee Job Type Description,Pay Per Date,Pay Type,Pay Type Description,Hours,Employee Pay Class Description
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/1/2023,99,PTO,13.73,Hourly
3470,AI Lab-Cimarron 3470,3376702,AI Courier,10/1/2023,1,Regular,37.97,Hourly
3470,AI Lab-Cimarron 3470,3416334,Herdsperson 3 (Hourly),10/1/2023,1,Regular,32.92,Hourly
3470,AI Lab-Cimarron 3470,3416334,Herdsperson 3 (Hourly),10/1/2023,30,Holiday,8.73,Hourly
3470,AI Lab-Cimarron 3470,3416334,Herdsperson 3 (Hourly),10/1/2023,99,PTO,34.92,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),10/1/2023,1,Regular,86.72,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),10/1/2023,12,Premium,13.07,Hourly
3470,AI Lab-Cimarron 3470,2184097,AI Courier,10/1/2023,1,Regular,74.7,Hourly
3470,AI Lab-Cimarron 3470,2184097,AI Courier,10/1/2023,99,PTO,8.73,Hourly
7068,Farm 7068-AI,3425893,Boar Stud Mgr.,10/1/2023,1,Regular,80,Salaried
7068,Farm 7068-AI,3425894,Herdsperson 1 (Hourly),10/1/2023,1,Regular,82.02,Hourly
7068,Farm 7068-AI,3425894,Herdsperson 1 (Hourly),10/1/2023,12,Premium,8.5,Hourly
