Employee Home Business Unit,Employee Home Business Unit Desc.,Employee Number,Employee Job Type Description,Pay Per Date,Pay Type,Pay Type Description,Hours,Employee Pay Class Description
49770,Colorado Boar Stud,3431216,Production Mgr Trainee 1,10/15/2023,1,Regular,77.62,Hourly
49770,Colorado Boar Stud,3431217,Production Mgr Trainee 1,10/15/2023,1,Regular,78.85,Hourly
49770,Colorado Boar Stud,954835,Boar Stud Mgr.,10/15/2023,1,Regular,80,Salaried
2874,AI Lab-Cyclone 2874,3344620,Herdsperson 4 (Hourly),10/29/2023,1,Regular,68.22,Hourly
2874,AI Lab-Cyclone 2874,3344620,Herdsperson 4 (Hourly),10/29/2023,99,PTO,8,Hourly
2874,AI Lab-Cyclone 2874,3344620,Herdsperson 4 (Hourly),10/29/2023,554,Referral Bns,,Hourly
2874,AI Lab-Cyclone 2874,3344620,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
2874,AI Lab-Cyclone 2874,3344621,Herdsperson 4 (Hourly),10/29/2023,1,Regular,69.07,Hourly
2874,AI Lab-Cyclone 2874,3344621,Herdsperson 4 (Hourly),10/29/2023,99,PTO,16,Hourly
2874,AI Lab-Cyclone 2874,3344621,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
2874,AI Lab-Cyclone 2874,3378304,Herdsperson 4 (Hourly),10/29/2023,1,Regular,83.55,Hourly
2874,AI Lab-Cyclone 2874,3378304,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
2874,AI Lab-Cyclone 2874,3422715,Herdsperson 2 (Hourly),10/29/2023,1,Regular,80.17,Hourly
2874,AI Lab-Cyclone 2874,802455,Boar Stud Mgr.,10/29/2023,1,Regular,68,Salaried
2874,AI Lab-Cyclone 2874,802455,Boar Stud Mgr.,10/29/2023,99,PTO,12,Salaried
2874,AI Lab-Cyclone 2874,802455,Boar Stud Mgr.,11/2/2023,553,Qrtly Bonus,,Salaried
2874,AI Lab-Cyclone 2874,3308823,Herdsperson 4 (Hourly),10/29/2023,1,Regular,87.45,Hourly
2874,AI Lab-Cyclone 2874,3308823,Herdsperson 4 (Hourly),10/29/2023,12,Premium,4.35,Hourly
2874,AI Lab-Cyclone 2874,3308823,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
2874,AI Lab-Cyclone 2874,3375574,Herdsperson 4 (Hourly),10/29/2023,1,Regular,60.87,Hourly
2874,AI Lab-Cyclone 2874,3375574,Herdsperson 4 (Hourly),10/29/2023,12,Premium,8.08,Hourly
2874,AI Lab-Cyclone 2874,3375574,Herdsperson 4 (Hourly),10/29/2023,99,PTO,8,Hourly
2874,AI Lab-Cyclone 2874,3375574,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
2874,AI Lab-Cyclone 2874,3383365,Boar Stud HOD 1 (Hourly),10/29/2023,1,Regular,87.15,Hourly
2874,AI Lab-Cyclone 2874,3383365,Boar Stud HOD 1 (Hourly),10/29/2023,12,Premium,5.48,Hourly
2874,AI Lab-Cyclone 2874,3383365,Boar Stud HOD 1 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
2874,AI Lab-Cyclone 2874,3432284,Herdsperson 1 (Hourly),10/29/2023,1,Regular,71.08,Hourly
2874,AI Lab-Cyclone 2874,3432284,Herdsperson 1 (Hourly),10/29/2023,12,Premium,4.5,Hourly
2874,AI Lab-Cyclone 2874,3432284,Herdsperson 1 (Hourly),10/29/2023,99,PTO,8,Hourly
2874,AI Lab-Cyclone 2874,3399459,AI Courier,10/29/2023,1,Regular,38.55,Hourly
3470,AI Lab-Cimarron 3470,788267,Boar Stud Mgr.,10/29/2023,1,Regular,64,Salaried
3470,AI Lab-Cimarron 3470,788267,Boar Stud Mgr.,10/29/2023,99,PTO,16,Salaried
3470,AI Lab-Cimarron 3470,788267,Boar Stud Mgr.,11/2/2023,553,Qrtly Bonus,,Salaried
3470,AI Lab-Cimarron 3470,2184097,AI Courier,10/29/2023,1,Regular,67.3,Hourly
3470,AI Lab-Cimarron 3470,2184097,AI Courier,11/2/2023,553,Qrtly Bonus,,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),10/29/2023,1,Regular,71.78,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),10/29/2023,4,Non-Worked,2,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),10/29/2023,12,Premium,11.27,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),10/29/2023,99,PTO,8.5,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
3470,AI Lab-Cimarron 3470,3405337,Production Mgr Trainee 1 Certf,10/29/2023,1,Regular,96.98,Hourly
3470,AI Lab-Cimarron 3470,3405337,Production Mgr Trainee 1 Certf,10/29/2023,4,Non-Worked,4,Hourly
3470,AI Lab-Cimarron 3470,3405337,Production Mgr Trainee 1 Certf,10/29/2023,12,Premium,13.45,Hourly
3470,AI Lab-Cimarron 3470,3405337,Production Mgr Trainee 1 Certf,11/2/2023,553,Qrtly Bonus,,Hourly
3470,AI Lab-Cimarron 3470,3376702,AI Courier,10/29/2023,1,Regular,37.72,Hourly
3470,AI Lab-Cimarron 3470,3416334,Herdsperson 3 (Hourly),10/29/2023,1,Regular,78.35,Hourly
3470,AI Lab-Cimarron 3470,3416334,Herdsperson 3 (Hourly),10/29/2023,4,Non-Worked,4,Hourly
3470,AI Lab-Cimarron 3470,3416334,Herdsperson 3 (Hourly),10/29/2023,12,Premium,13.48,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),10/29/2023,1,Regular,68.47,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),10/29/2023,4,Non-Worked,2,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),10/29/2023,12,Premium,11.7,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),10/29/2023,30,Holiday,8.5,Hourly
3470,AI Lab-Cimarron 3470,985941,Boar Stud HOD 2 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),10/29/2023,1,Regular,98.92,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),10/29/2023,4,Non-Worked,4,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),10/29/2023,12,Premium,15.12,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/29/2023,1,Regular,78.55,Hourly
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/29/2023,4,Non-Worked,4,Hourly
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/29/2023,12,Premium,13.67,Hourly
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7068,Farm 7068-AI,1365358,Boar Stud Asst Manager (H),10/29/2023,1,Regular,81.83,Hourly
7068,Farm 7068-AI,1365358,Boar Stud Asst Manager (H),10/29/2023,12,Premium,1.15,Hourly
7068,Farm 7068-AI,1365358,Boar Stud Asst Manager (H),10/29/2023,30,Holiday,9.6,Hourly
7068,Farm 7068-AI,1365358,Boar Stud Asst Manager (H),10/29/2023,99,PTO,4,Hourly
7068,Farm 7068-AI,1365358,Boar Stud Asst Manager (H),11/2/2023,553,Qrtly Bonus,,Hourly
7068,Farm 7068-AI,3436388,Herdsperson Trainee/Laborer,10/29/2023,1,Regular,78.77,Hourly
7068,Farm 7068-AI,3396306,Herdsperson 4 (Hourly),10/29/2023,1,Regular,81.52,Hourly
7068,Farm 7068-AI,3396306,Herdsperson 4 (Hourly),10/29/2023,12,Premium,3.9,Hourly
7068,Farm 7068-AI,3396306,Herdsperson 4 (Hourly),10/29/2023,99,PTO,4,Hourly
7068,Farm 7068-AI,3396306,Herdsperson 4 (Hourly),11/2/2023,553,Qrtly Bonus,,Hourly
7068,Farm 7068-AI,3425893,Boar Stud Mgr.,10/29/2023,1,Regular,64,Salaried
7068,Farm 7068-AI,3425893,Boar Stud Mgr.,10/29/2023,30,Holiday,16,Salaried
7068,Farm 7068-AI,3425893,Boar Stud Mgr.,11/2/2023,553,Qrtly Bonus,,Salaried
7068,Farm 7068-AI,3425894,Herdsperson 2 (Hourly),10/29/2023,1,Regular,81.72,Hourly
7068,Farm 7068-AI,3425894,Herdsperson 2 (Hourly),10/29/2023,12,Premium,4.05,Hourly
7069,Farm 7069-AI,787122,Herdsperson Trainee/Laborer,10/29/2023,1,Regular,29.38,Hourly
7069,Farm 7069-AI,3300775,Production Mgr Trainee 1 Certf,10/29/2023,1,Regular,93.03,Hourly
7069,Farm 7069-AI,3300775,Production Mgr Trainee 1 Certf,10/29/2023,12,Premium,19.17,Hourly
7069,Farm 7069-AI,3300775,Production Mgr Trainee 1 Certf,10/29/2023,31,Holiday-adtl,9.6,Hourly
7069,Farm 7069-AI,3300775,Production Mgr Trainee 1 Certf,11/2/2023,553,Qrtly Bonus,,Hourly
