BoarID,Misc_Info,Spec_Group
5804G, 120.07,Y    
369G4,  89.56,     
6957H, 113.43,     
6618F, 116.22,B    
4114B, 114.36,G    
4197B, 100.98,     
8409C, 113.83,G    
2011380,  94.78,     
2005720, 126.10,Y    
7351G, 109.23,     
6281H, 113.68,     
1116C,  88.25,     
2263C,  92.16,     
6929E, 112.72,     
8298C,  87.18,     
2011253,  88.79,     
1017G, 114.53,G    
2358C, 105.74,     
2157J,  82.57,     
2429H, 121.18,Y    
1850J, 117.44,B    
2337C, 102.49,     
2522A, 100.22,     
5731H, 131.14,Y    
8459C, 108.72,     
5970H, 122.15,Y    
4069B,  98.95,     
6017H,  91.41,     
1323C,  92.64,     
1851J, 119.86,Y    
4568F,  96.81,     
2000863, 116.63,B    
4090B, 103.37,     
740H5,  92.97,     
913B6, 104.87,     
2403H,  88.71,     
8417C,  94.22,     
2845F, 111.99,     
4238B, 119.25,B    
2004741,  81.91,     
2237C,  98.77,     
2011221,  95.16,     
5264H, 102.71,     
2343C,  77.69,     
182C1,  93.36,     
2927F, 117.31,B    
5294H, 112.86,     
5217B,  97.01,     
4432G, 103.50,     
336K1, 124.77,Y    
4823H, 119.76,Y    
689J6,  94.27,     
1094G, 106.58,     
2016972,  92.32,     
2177J,  84.70,     
2252G, 118.12,B    
1295C,  91.95,     
2011549,  94.23,     
6928E, 102.94,     
9045J, 113.99,G    
6442H, 123.20,Y    
106H9, 108.95,     
2426G, 112.25,     
4565F, 104.93,     
1040G, 118.03,B    
6711E, 131.39,Y    
4283F, 106.80,     
2254C,  84.71,     
6112F, 118.89,B    
8355C,  94.15,     
7195G, 112.03,     
2606F, 107.90,     
770E0,  90.63,     
3667F, 116.31,B    
8761A,  94.69,     
156K4, 101.55,     
2004652,  91.28,     
4112B, 109.97,     
1212H, 111.75,     
625K1,  92.55,     
3098F, 113.50,     
2016971, 102.81,     
2004782,  87.91,     
5437B,  88.61,     
2004780,  94.29,     
2456H, 104.95,     
9063F, 116.63,B    
3779F, 109.12,     
6695E, 109.52,     
4075B,  96.33,     
2371G, 110.89,     
2011219,  95.36,     
582J6,  98.58,     
3207A, 104.02,     
7076C,  91.70,     
5575G, 108.89,     
2004779,  95.68,     
816J6,  81.78,     
6522E, 114.87,G    
7007C,  91.35,     
3983F, 100.30,     
2937F, 115.88,G    
2016797, 114.57,G    
8712A, 109.72,     
6006H,  99.64,     
1109C, 102.80,     
2017245,  92.45,     
5601E, 119.06,B    
2004707, 112.43,     
2520F, 109.85,     
8299C,  86.88,     
4176B,  81.53,     
8303C, 101.00,     
4409F, 100.87,     
4043B, 111.88,     
2016975, 100.60,     
2986F, 109.67,     
2252C,  76.41,     
4575F, 111.63,     
181K4,  93.37,     
9795F, 112.87,     
5009F, 108.98,     
2122H, 119.94,Y    
2305C,  91.97,     
1852J, 119.16,B    
9794F, 108.13,     
2011220, 111.16,     
6230F, 114.25,G    
2011381,  85.64,     
1145C,  82.75,     
2016844, 105.84,     
2350C,  79.60,     
2358H,  91.19,     
2204C, 110.62,     
523J6, 102.40,     
5996H,  90.29,     
4385F, 110.21,     
2004668,  82.38,     
1170H, 116.32,B    
4478F, 105.80,     
8285C,  85.84,     
2474C, 105.29,     
2017239, 102.15,     
180K4,  93.96,     
4563F, 113.39,     
2016842, 117.02,B    
2016843,  98.00,     
8747F, 117.51,B    
2004735,  78.96,     
8768A,  94.09,     
4173F, 116.35,B    
2016954, 104.56,     
2011382,  86.93,     
4714F, 103.47,     
